time,gFx,gFy,gFz,0
0.004371116,-0.9965,0.1796,0.2842,1.068
0.005228924,-1.0007,0.1845,0.2910,1.075
0.005669808,-1.0034,0.1886,0.2964,1.080
0.006073616,-1.0026,0.1903,0.2984,1.080
0.006488693,-0.9985,0.1920,0.2954,1.076
0.007131654,-0.9943,0.1945,0.2918,1.071
0.007700154,-0.9909,0.1964,0.2881,1.067
0.008369577,-0.9846,0.1969,0.2847,1.061
0.0089775,-0.9806,0.1996,0.2800,1.056
0.009685847,-0.9728,0.1986,0.2727,1.047
0.01025577,-0.9591,0.1942,0.2585,1.029
0.010897424,-0.9462,0.1910,0.2431,1.012
0.011624731,-0.9320,0.1881,0.2253,0.994
0.012581847,-0.9130,0.1823,0.2050,0.969
0.013505039,-0.8912,0.1744,0.1835,0.942
0.014350077,-0.8685,0.1654,0.1642,0.915
0.015183577,-0.8463,0.1559,0.1479,0.888
0.016081462,-0.8243,0.1461,0.1378,0.863
0.017041808,-0.8045,0.1368,0.1347,0.841
0.018095654,-0.7872,0.1275,0.1393,0.824
0.018887962,-0.7798,0.1234,0.1444,0.817
0.022784308,-0.7686,0.1160,0.1589,0.807
0.023897039,-0.7627,0.1109,0.1752,0.805
0.025380577,-0.7647,0.1104,0.1894,0.810
0.026601347,-0.7764,0.1153,0.2001,0.825
0.028635462,-0.7996,0.1268,0.2084,0.851
0.039106231,-0.8302,0.1407,0.2163,0.885
0.0397845,-0.8631,0.1542,0.2258,0.921
0.040132385,-0.8942,0.1639,0.2385,0.956
0.040431731,-0.9196,0.1683,0.2551,0.985
0.0407265,-0.9379,0.1705,0.2725,1.008
0.041016154,-0.9445,0.1744,0.2810,1.017
0.042433924,-0.9398,0.1808,0.2791,1.014
0.044573231,-0.9342,0.1893,0.2712,1.008
0.054596539,-0.9330,0.1972,0.2612,1.006
0.055342116,-0.9367,0.2028,0.2519,1.008
0.055695693,-0.9408,0.2060,0.2436,1.011
0.056100847,-0.9438,0.2079,0.2373,1.012
0.056434077,-0.9460,0.2081,0.2348,1.014
0.056780116,-0.9486,0.2069,0.2346,1.016
0.061167654,-0.9535,0.2050,0.2353,1.020
0.061704347,-0.9591,0.2016,0.2387,1.026
0.062886039,-0.9648,0.1969,0.2436,1.031
0.065045077,-0.9721,0.1923,0.2502,1.039
0.066587924,-0.9797,0.1874,0.2576,1.046
0.068978,-0.9848,0.1825,0.2659,1.052
0.0702125,-0.9880,0.1791,0.2732,1.057
0.072613193,-0.9902,0.1759,0.2778,1.059
0.074234693,-0.9907,0.1727,0.2803,1.060
0.076995,-0.9887,0.1710,0.2800,1.057
0.078490077,-0.9848,0.1695,0.2781,1.053
0.081498577,-0.9794,0.1686,0.2756,1.047
0.082495616,-0.9740,0.1691,0.2732,1.041
0.084706693,-0.9711,0.1691,0.2725,1.038
0.086664231,-0.9648,0.1686,0.2705,1.032
0.088426,-0.9599,0.1681,0.2693,1.027
0.090306654,-0.9560,0.1681,0.2690,1.023
0.092352116,-0.9533,0.1673,0.2688,1.020
0.094358462,-0.9516,0.1676,0.2683,1.019
0.096546577,-0.9484,0.1673,0.2654,1.015
0.098559577,-0.9438,0.1664,0.2615,1.009
0.100407231,-0.9406,0.1661,0.2576,1.005
0.102406347,-0.9376,0.1664,0.2541,1.001
0.104570923,-0.9340,0.1671,0.2502,0.997
0.106246577,-0.9303,0.1676,0.2470,0.993
0.108448962,-0.9279,0.1666,0.2431,0.989
0.110424193,-0.9257,0.1654,0.2385,0.986
0.112704577,-0.9232,0.1649,0.2351,0.983
0.114936962,-0.9201,0.1639,0.2326,0.979
0.117464539,-0.9171,0.1630,0.2302,0.975
0.118215847,-0.9149,0.1627,0.2285,0.973
0.120633962,-0.9161,0.1632,0.2268,0.973
0.122491231,-0.9191,0.1627,0.2255,0.976
0.124451,-0.9215,0.1617,0.2253,0.978
0.126196962,-0.9218,0.1605,0.2241,0.977
0.128393077,-0.9201,0.1600,0.2231,0.975
0.142159231,-0.9188,0.1608,0.2219,0.974
0.142957847,-0.9188,0.1622,0.2214,0.974
0.143383923,-0.9201,0.1639,0.2202,0.976
0.143835193,-0.9213,0.1647,0.2182,0.976
0.144218693,-0.9215,0.1644,0.2163,0.976
0.144594693,-0.9218,0.1639,0.2160,0.976
0.144979693,-0.9220,0.1639,0.2163,0.976
0.145343193,-0.9213,0.1642,0.2170,0.976
0.146905193,-0.9208,0.1647,0.2172,0.976
0.148914116,-0.9198,0.1652,0.2187,0.975
0.150218577,-0.9196,0.1656,0.2214,0.976
0.152725693,-0.9201,0.1656,0.2248,0.977
0.154396423,-0.9205,0.1649,0.2277,0.978
0.156765423,-0.9208,0.1649,0.2282,0.979
0.158677193,-0.9210,0.1656,0.2297,0.979
0.160602654,-0.9225,0.1659,0.2334,0.982
0.162402962,-0.9242,0.1661,0.2373,0.984
0.165650731,-0.9259,0.1664,0.2412,0.987
0.166322923,-0.9286,0.1676,0.2448,0.991
0.168557,-0.9320,0.1695,0.2475,0.995
0.170372116,-0.9347,0.1710,0.2490,0.998
0.172358731,-0.9364,0.1722,0.2497,1.000
0.174239116,-0.9389,0.1735,0.2505,1.003
0.176529885,-0.9413,0.1737,0.2536,1.006
0.178354,-0.9440,0.1742,0.2573,1.010
0.181747654,-0.9455,0.1752,0.2607,1.013
0.182740193,-0.9469,0.1759,0.2649,1.015
0.184404154,-0.9484,0.1757,0.2678,1.017
0.186369654,-0.9491,0.1764,0.2690,1.019
0.188603347,-0.9494,0.1771,0.2705,1.019
0.190562462,-0.9494,0.1766,0.2715,1.019
0.192429,-0.9484,0.1769,0.2707,1.018
