time,gFx,gFy,gFz,0
18:22:46:978,0.9313,0.0403,0.3814,1.016
18:22:46:981,0.9291,0.0406,0.3814,1.014
18:22:46:983,0.9267,0.0403,0.3812,1.011
18:22:46:985,0.9257,0.0396,0.3809,1.010
18:22:46:987,0.9237,0.0374,0.3795,1.008
18:22:46:990,0.9208,0.0376,0.3765,1.004
18:22:46:992,0.9183,0.0396,0.3760,1.002
18:22:46:995,0.9144,0.0403,0.3775,0.999
18:22:46:997,0.9110,0.0406,0.3787,0.996
18:22:46:999,0.9098,0.0410,0.3787,0.995
18:22:47:001,0.9110,0.0420,0.3775,0.996
18:22:47:003,0.9139,0.0423,0.3770,0.998
18:22:47:005,0.9174,0.0418,0.3768,1.001
18:22:47:006,0.9227,0.0408,0.3770,1.006
18:22:47:007,0.9293,0.0379,0.3768,1.012
18:22:47:008,0.9345,0.0337,0.3768,1.016
18:22:47:009,0.9384,0.0313,0.3780,1.020
18:22:47:010,0.9413,0.0318,0.3804,1.024
18:22:47:010,0.9423,0.0327,0.3836,1.026
18:22:47:011,0.9425,0.0337,0.3856,1.027
18:22:47:012,0.9433,0.0335,0.3834,1.027
18:22:47:013,0.9440,0.0347,0.3760,1.025
18:22:47:014,0.9450,0.0374,0.3670,1.023
18:22:47:015,0.9447,0.0398,0.3567,1.019
18:22:47:018,0.9447,0.0413,0.3460,1.015
18:22:47:019,0.9447,0.0415,0.3345,1.011
18:22:47:020,0.9450,0.0415,0.3233,1.007
18:22:47:024,0.9438,0.0428,0.3128,1.003
18:22:47:025,0.9416,0.0442,0.3047,0.998
18:22:47:026,0.9413,0.0462,0.2984,0.996
18:22:47:028,0.9401,0.0476,0.2940,0.994
18:22:47:032,0.9396,0.0489,0.2925,0.993
18:22:47:035,0.9398,0.0501,0.2940,0.994
18:22:47:037,0.9398,0.0518,0.2966,0.995
18:22:47:038,0.9401,0.0533,0.3008,0.996
18:22:47:039,0.9413,0.0545,0.3054,0.999
18:22:47:042,0.9418,0.0542,0.3103,1.001
18:22:47:044,0.9418,0.0542,0.3155,1.003
18:22:47:045,0.9420,0.0542,0.3177,1.004
18:22:47:047,0.9433,0.0537,0.3218,1.006
18:22:47:050,0.9450,0.0520,0.3240,1.009
18:22:47:051,0.9460,0.0511,0.3252,1.010
18:22:47:052,0.9450,0.0498,0.3255,1.009
18:22:47:054,0.9445,0.0491,0.3255,1.008
18:22:47:056,0.9442,0.0506,0.3255,1.008
18:22:47:059,0.9445,0.0508,0.3264,1.009
18:22:47:061,0.9452,0.0506,0.3269,1.010
18:22:47:062,0.9452,0.0503,0.3279,1.010
18:22:47:066,0.9447,0.0506,0.3299,1.010
18:22:47:067,0.9455,0.0496,0.3316,1.011
18:22:47:068,0.9469,0.0486,0.3333,1.013
18:22:47:070,0.9482,0.0484,0.3355,1.015
18:22:47:072,0.9484,0.0481,0.3372,1.016
18:22:47:074,0.9477,0.0462,0.3374,1.015
18:22:47:076,0.9462,0.0435,0.3357,1.013
18:22:47:078,0.9452,0.0406,0.3340,1.011
18:22:47:082,0.9460,0.0381,0.3326,1.011
18:22:47:084,0.9464,0.0364,0.3323,1.011
18:22:47:086,0.9455,0.0347,0.3321,1.010
18:22:47:088,0.9445,0.0322,0.3323,1.009
18:22:47:089,0.9440,0.0305,0.3326,1.009
18:22:47:091,0.9450,0.0286,0.3318,1.009
18:22:47:093,0.9455,0.0274,0.3306,1.009
18:22:47:094,0.9445,0.0279,0.3326,1.009
18:22:47:096,0.9435,0.0288,0.3357,1.009
18:22:47:101,0.9425,0.0288,0.3389,1.009
18:22:47:102,0.9420,0.0293,0.3409,1.010
18:22:47:104,0.9433,0.0286,0.3418,1.011
18:22:47:105,0.9452,0.0276,0.3416,1.013
18:22:47:106,0.9452,0.0291,0.3396,1.012
18:22:47:108,0.9442,0.0318,0.3379,1.011
