time,gFx,gFy,gFz,0
18:13:29:814,0.1512,0.2817,0.7938,0.889
18:13:29:817,0.1578,0.2814,0.7948,0.891
18:13:29:820,0.1649,0.2812,0.7975,0.895
18:13:29:822,0.1717,0.2792,0.8011,0.899
18:13:29:825,0.1783,0.2763,0.8070,0.904
18:13:29:827,0.1849,0.2724,0.8138,0.911
18:13:29:830,0.1910,0.2690,0.8217,0.918
18:13:29:833,0.1976,0.2658,0.8302,0.926
18:13:29:835,0.2047,0.2624,0.8392,0.935
18:13:29:838,0.2111,0.2597,0.8495,0.944
18:13:29:840,0.2162,0.2568,0.8603,0.955
18:13:29:843,0.2206,0.2536,0.8703,0.964
18:13:29:845,0.2240,0.2507,0.8793,0.972
18:13:29:847,0.2262,0.2487,0.8874,0.979
18:13:29:850,0.2270,0.2477,0.8915,0.983
18:13:29:852,0.2279,0.2453,0.8996,0.990
18:13:29:854,0.2282,0.2443,0.9072,0.997
18:13:29:856,0.2284,0.2446,0.9140,1.003
18:13:29:858,0.2279,0.2448,0.9211,1.010
18:13:29:860,0.2272,0.2446,0.9274,1.016
18:13:29:862,0.2253,0.2450,0.9326,1.020
18:13:29:863,0.2223,0.2450,0.9375,1.024
18:13:29:864,0.2191,0.2458,0.9416,1.027
18:13:29:865,0.2162,0.2470,0.9458,1.031
18:13:29:866,0.2138,0.2477,0.9492,1.034
18:13:29:866,0.2111,0.2482,0.9516,1.036
18:13:29:867,0.2074,0.2497,0.9538,1.038
18:13:29:868,0.2042,0.2511,0.9550,1.038
18:13:29:869,0.2003,0.2521,0.9555,1.038
18:13:29:870,0.1967,0.2529,0.9560,1.038
18:13:29:871,0.1925,0.2541,0.9570,1.039
18:13:29:872,0.1874,0.2558,0.9568,1.038
18:13:29:872,0.1823,0.2573,0.9572,1.038
18:13:29:873,0.1774,0.2592,0.9582,1.039
18:13:29:874,0.1730,0.2609,0.9592,1.040
18:13:29:875,0.1693,0.2619,0.9602,1.040
18:13:29:876,0.1664,0.2639,0.9607,1.041
18:13:29:877,0.1639,0.2658,0.9624,1.043
