time,gFx,gFy,gFz,0
18:17:35:541,0.9584,-0.0039,-0.0175,0.958
18:17:35:543,0.9628,-0.0098,-0.0083,0.962
18:17:35:545,0.9692,-0.0156,0.0032,0.968
18:17:35:546,0.9780,-0.0220,0.0162,0.977
18:17:35:547,0.9863,-0.0281,0.0303,0.986
18:17:35:549,0.9943,-0.0327,0.0438,0.995
18:17:35:550,1.0029,-0.0364,0.0565,1.004
18:17:35:551,1.0100,-0.0384,0.0685,1.012
18:17:35:552,1.0146,-0.0388,0.0787,1.018
18:17:35:553,1.0173,-0.0388,0.0848,1.021
18:17:35:553,1.0183,-0.0376,0.0880,1.022
18:17:35:554,1.0183,-0.0347,0.0897,1.022
18:17:35:555,1.0170,-0.0310,0.0912,1.021
18:17:35:555,1.0124,-0.0252,0.0946,1.017
18:17:35:572,1.0080,-0.0198,0.0970,1.013
18:17:35:574,1.0061,-0.0173,0.0922,1.011
18:17:35:575,1.0051,-0.0171,0.0814,1.009
18:17:35:576,1.0065,-0.0171,0.0675,1.009
18:17:35:578,1.0092,-0.0159,0.0545,1.011
18:17:35:578,1.0122,-0.0137,0.0457,1.013
18:17:35:579,1.0139,-0.0107,0.0377,1.014
18:17:35:580,1.0139,-0.0086,0.0306,1.014
18:17:35:581,1.0131,-0.0071,0.0245,1.013
18:17:35:581,1.0112,-0.0064,0.0181,1.011
18:17:35:582,1.0080,-0.0054,0.0106,1.008
18:17:35:583,1.0041,-0.0042,0.0032,1.004
18:17:35:583,1.0014,-0.0034,-0.0039,1.001
18:17:35:584,0.9999,-0.0034,-0.0097,0.999
18:17:35:585,0.9997,-0.0039,-0.0131,0.999
18:17:35:591,1.0004,-0.0032,-0.0144,1.000
18:17:35:592,1.0012,-0.0029,-0.0114,1.001
18:17:35:593,1.0014,-0.0027,-0.0075,1.001
18:17:35:594,1.0009,-0.0029,-0.0039,1.000
18:17:35:595,1.0004,-0.0029,-0.0019,1.000
18:17:35:606,0.9975,-0.0022,0.0013,0.997
18:17:35:607,0.9936,-0.0012,0.0042,0.993
18:17:35:608,0.9912,0.0000,0.0088,0.991
18:17:35:609,0.9894,0.0022,0.0123,0.990
18:17:35:610,0.9894,0.0051,0.0152,0.990
18:17:35:610,0.9907,0.0071,0.0167,0.991
18:17:35:611,0.9926,0.0083,0.0169,0.993
18:17:35:612,0.9951,0.0086,0.0167,0.996
18:17:35:616,0.9965,0.0086,0.0162,0.997
18:17:35:617,0.9982,0.0081,0.0152,0.999
18:17:35:618,0.9999,0.0083,0.0132,1.000
18:17:35:619,1.0021,0.0098,0.0123,1.003
18:17:35:622,1.0043,0.0115,0.0101,1.005
18:17:35:623,1.0053,0.0127,0.0091,1.006
18:17:35:635,1.0063,0.0127,0.0088,1.007
18:17:35:636,1.0063,0.0117,0.0049,1.007
18:17:35:637,1.0061,0.0098,-0.0017,1.006
18:17:35:638,1.0065,0.0073,-0.0085,1.006
18:17:35:639,1.0070,0.0056,-0.0124,1.007
18:17:35:640,1.0073,0.0059,-0.0131,1.007
18:17:35:641,1.0070,0.0068,-0.0126,1.007
18:17:35:642,1.0051,0.0090,-0.0107,1.005
18:17:35:650,1.0021,0.0098,-0.0075,1.002
18:17:35:651,0.9985,0.0115,-0.0046,0.999
18:17:35:652,0.9943,0.0137,-0.0024,0.995
18:17:35:653,0.9899,0.0156,-0.0007,0.990
18:17:35:654,0.9870,0.0186,0.0003,0.988
18:17:35:655,0.9868,0.0203,-0.0009,0.988
18:17:35:656,0.9894,0.0198,-0.0019,0.990
18:17:35:657,0.9943,0.0173,-0.0029,0.995
18:17:35:659,0.9999,0.0134,-0.0031,1.000
18:17:35:660,1.0058,0.0086,-0.0019,1.006
18:17:35:663,1.0117,0.0029,-0.0004,1.011
18:17:35:664,1.0146,-0.0012,0.0001,1.014
18:17:35:666,1.0148,-0.0039,0.0018,1.014
18:17:35:667,1.0126,-0.0049,0.0037,1.012
18:17:35:669,1.0114,-0.0051,0.0047,1.011
18:17:35:671,1.0092,-0.0044,0.0071,1.009
18:17:35:673,1.0070,-0.0032,0.0088,1.007
18:17:35:676,1.0053,-0.0017,0.0110,1.005
18:17:35:678,1.0029,0.0005,0.0128,1.003
18:17:35:679,1.0007,0.0017,0.0132,1.001
18:17:35:681,0.9985,0.0015,0.0128,0.999
18:17:35:683,0.9948,0.0010,0.0113,0.995
18:17:35:685,0.9907,0.0007,0.0096,0.991
18:17:35:687,0.9868,-0.0010,0.0067,0.987
18:17:35:689,0.9828,-0.0034,0.0035,0.982
18:17:35:691,0.9792,-0.0049,0.0015,0.979
18:17:35:693,0.9762,-0.0059,-0.0017,0.976
18:17:35:694,0.9740,-0.0073,-0.0070,0.973
18:17:35:697,0.9728,-0.0088,-0.0107,0.972
18:17:35:699,0.9772,-0.0078,-0.0034,0.976
18:17:35:700,0.9899,-0.0044,0.0162,0.990
18:17:35:702,0.9992,-0.0046,0.0262,0.999
18:17:35:705,1.0024,-0.0112,0.0176,1.002
18:17:35:706,1.0048,-0.0210,0.0005,1.004
18:17:35:709,1.0085,-0.0308,-0.0168,1.007
18:17:35:711,1.0139,-0.0403,-0.0315,1.012
18:17:35:713,1.0207,-0.0489,-0.0427,1.019
18:17:35:715,1.0276,-0.0559,-0.0510,1.026
18:17:35:717,1.0346,-0.0599,-0.0559,1.034
18:17:35:719,1.0410,-0.0621,-0.0561,1.040
18:17:35:721,1.0461,-0.0628,-0.0544,1.045
18:17:35:723,1.0495,-0.0608,-0.0510,1.048
18:17:35:728,1.0544,-0.0559,-0.0456,1.053
18:17:35:729,1.0588,-0.0493,-0.0400,1.057
18:17:35:731,1.0622,-0.0430,-0.0346,1.061
18:17:35:733,1.0659,-0.0366,-0.0293,1.064
18:17:35:734,1.0698,-0.0313,-0.0236,1.068
18:17:35:735,1.0723,-0.0276,-0.0178,1.071
18:17:35:737,1.0730,-0.0249,-0.0107,1.072
18:17:35:739,1.0737,-0.0230,-0.0024,1.072
18:17:35:741,1.0737,-0.0222,0.0069,1.073
18:17:35:746,1.0737,-0.0220,0.0120,1.073
18:17:35:747,1.0742,-0.0208,0.0225,1.074
18:17:35:748,1.0740,-0.0200,0.0306,1.074
18:17:35:749,1.0715,-0.0203,0.0374,1.072
18:17:35:750,1.0681,-0.0203,0.0433,1.069
18:17:35:752,1.0647,-0.0203,0.0479,1.065
18:17:35:754,1.0610,-0.0210,0.0509,1.062
18:17:35:756,1.0581,-0.0222,0.0521,1.059
18:17:35:759,1.0559,-0.0225,0.0514,1.057
18:17:35:761,1.0539,-0.0222,0.0492,1.055
18:17:35:763,1.0522,-0.0227,0.0472,1.053
18:17:35:766,1.0515,-0.0235,0.0462,1.052
18:17:35:767,1.0508,-0.0237,0.0448,1.051
18:17:35:768,1.0525,-0.0249,0.0462,1.053
18:17:35:770,1.0547,-0.0242,0.0523,1.056
18:17:35:772,1.0539,-0.0220,0.0611,1.056
18:17:35:775,1.0517,-0.0203,0.0670,1.054
18:17:35:776,1.0478,-0.0176,0.0687,1.050
18:17:35:778,1.0410,-0.0134,0.0665,1.043
18:17:35:781,1.0317,-0.0110,0.0602,1.034
18:17:35:783,1.0200,-0.0112,0.0509,1.021
18:17:35:784,1.0092,-0.0144,0.0423,1.010
18:17:35:786,1.0073,-0.0193,0.0360,1.007
18:17:35:788,1.0251,-0.0254,0.0352,1.025
18:17:35:791,1.0405,-0.0330,0.0350,1.040
18:17:35:793,1.0425,-0.0401,0.0313,1.042
18:17:35:794,1.0412,-0.0445,0.0252,1.040
18:17:35:796,1.0420,-0.0469,0.0201,1.041
18:17:35:798,1.0442,-0.0457,0.0164,1.043
18:17:35:800,1.0454,-0.0432,0.0137,1.044
18:17:35:803,1.0439,-0.0388,0.0125,1.043
18:17:35:804,1.0388,-0.0344,0.0106,1.038
18:17:35:806,1.0307,-0.0308,0.0093,1.030
18:17:35:809,1.0192,-0.0276,0.0091,1.018
18:17:35:810,1.0134,-0.0257,0.0088,1.012
18:17:35:812,1.0012,-0.0208,0.0084,1.000
18:17:35:815,0.9892,-0.0147,0.0081,0.988
18:17:35:816,0.9784,-0.0093,0.0081,0.978
18:17:35:818,0.9711,-0.0051,0.0088,0.971
18:17:35:820,0.9660,-0.0020,0.0096,0.966
18:17:35:823,0.9635,0.0002,0.0088,0.963
18:17:35:825,0.9623,0.0012,0.0091,0.962
18:17:35:828,0.9621,0.0012,0.0088,0.962
18:17:35:830,0.9631,0.0010,0.0062,0.963
18:17:35:831,0.9635,0.0010,0.0035,0.963
18:17:35:833,0.9626,0.0012,0.0005,0.962
18:17:35:834,0.9611,0.0015,-0.0036,0.961
18:17:35:836,0.9599,0.0027,-0.0080,0.960
18:17:35:838,0.9587,0.0037,-0.0114,0.958
18:17:35:841,0.9569,0.0049,-0.0151,0.957
18:17:35:843,0.9550,0.0066,-0.0192,0.955
18:17:35:844,0.9528,0.0086,-0.0224,0.953
18:17:35:846,0.9508,0.0107,-0.0254,0.951
18:17:35:848,0.9501,0.0112,-0.0273,0.950
18:17:35:850,0.9504,0.0112,-0.0285,0.951
18:17:35:852,0.9513,0.0112,-0.0295,0.952
18:17:35:854,0.9533,0.0110,-0.0298,0.954
18:17:35:856,0.9552,0.0103,-0.0302,0.955
18:17:35:858,0.9567,0.0086,-0.0302,0.957
18:17:35:860,0.9582,0.0073,-0.0302,0.958
18:17:35:862,0.9589,0.0081,-0.0302,0.959
18:17:35:864,0.9582,0.0093,-0.0315,0.958
18:17:35:866,0.9560,0.0115,-0.0332,0.956
18:17:35:868,0.9528,0.0137,-0.0339,0.953
18:17:35:871,0.9496,0.0151,-0.0337,0.950
18:17:35:872,0.9477,0.0176,-0.0332,0.948
18:17:35:874,0.9469,0.0198,-0.0319,0.948
18:17:35:876,0.9469,0.0215,-0.0310,0.948
18:17:35:878,0.9472,0.0230,-0.0305,0.948
18:17:35:880,0.9484,0.0232,-0.0280,0.949
18:17:35:882,0.9494,0.0225,-0.0241,0.950
18:17:35:885,0.9501,0.0220,-0.0219,0.951
18:17:35:886,0.9521,0.0203,-0.0175,0.953
18:17:35:888,0.9543,0.0178,-0.0134,0.955
18:17:35:890,0.9557,0.0159,-0.0090,0.956
18:17:35:894,0.9577,0.0144,-0.0039,0.958
18:17:35:895,0.9584,0.0137,0.0015,0.959
18:17:35:896,0.9591,0.0142,0.0069,0.960
18:17:35:899,0.9599,0.0144,0.0130,0.961
18:17:35:901,0.9604,0.0149,0.0189,0.961
18:17:35:902,0.9616,0.0161,0.0252,0.963
18:17:35:904,0.9616,0.0173,0.0306,0.963
18:17:35:907,0.9623,0.0188,0.0360,0.965
18:17:35:910,0.9643,0.0195,0.0406,0.967
18:17:35:912,0.9665,0.0195,0.0455,0.969
18:17:35:913,0.9684,0.0208,0.0501,0.972
18:17:35:914,0.9701,0.0203,0.0528,0.973
18:17:35:916,0.9719,0.0188,0.0545,0.975
18:17:35:918,0.9721,0.0183,0.0558,0.976
18:17:35:920,0.9711,0.0178,0.0562,0.975
18:17:35:922,0.9699,0.0161,0.0562,0.973
18:17:35:924,0.9679,0.0139,0.0562,0.971
18:17:35:926,0.9672,0.0129,0.0577,0.970
18:17:35:928,0.9665,0.0134,0.0584,0.970
18:17:35:930,0.9650,0.0137,0.0592,0.968
18:17:35:932,0.9628,0.0151,0.0604,0.966
18:17:35:934,0.9599,0.0169,0.0616,0.964
18:17:35:936,0.9565,0.0186,0.0626,0.961
18:17:35:938,0.9535,0.0205,0.0638,0.958
18:17:35:940,0.9506,0.0225,0.0648,0.955
18:17:35:945,0.9479,0.0244,0.0670,0.953
18:17:35:947,0.9447,0.0264,0.0687,0.950
18:17:35:948,0.9420,0.0276,0.0697,0.948
18:17:35:949,0.9411,0.0279,0.0697,0.947
18:17:35:952,0.9408,0.0283,0.0697,0.946
18:17:35:953,0.9401,0.0291,0.0707,0.946
18:17:35:954,0.9389,0.0303,0.0716,0.945
18:17:35:956,0.9384,0.0313,0.0716,0.944
18:17:35:958,0.9367,0.0340,0.0709,0.943
18:17:35:961,0.9347,0.0369,0.0694,0.941
18:17:35:963,0.9323,0.0396,0.0687,0.939
18:17:35:965,0.9286,0.0415,0.0680,0.935
18:17:35:966,0.9252,0.0435,0.0668,0.932
18:17:35:969,0.9223,0.0452,0.0655,0.929
18:17:35:970,0.9193,0.0472,0.0641,0.926
18:17:35:972,0.9181,0.0486,0.0631,0.925
18:17:35:974,0.9164,0.0493,0.0616,0.923
18:17:35:977,0.9144,0.0501,0.0599,0.921
18:17:35:979,0.9125,0.0511,0.0587,0.919
18:17:35:982,0.9108,0.0530,0.0582,0.918
18:17:35:984,0.9098,0.0550,0.0577,0.917
18:17:35:985,0.9098,0.0579,0.0582,0.918
18:17:35:987,0.9113,0.0608,0.0597,0.919
18:17:35:989,0.9132,0.0628,0.0614,0.922
18:17:35:990,0.9164,0.0652,0.0638,0.925
18:17:35:992,0.9198,0.0662,0.0663,0.929
18:17:35:995,0.9227,0.0655,0.0685,0.932
