time,gFx,gFy,gFz,0
18:14:24:922,0.2895,0.1287,0.9348,1.011
18:14:24:923,0.2919,0.1261,0.9265,1.004
18:14:24:926,0.2951,0.1256,0.9179,0.996
18:14:24:927,0.2988,0.1266,0.9086,0.989
18:14:24:930,0.3027,0.1275,0.9015,0.984
18:14:24:931,0.3064,0.1292,0.8959,0.980
18:14:24:935,0.3108,0.1314,0.8913,0.977
18:14:24:937,0.3161,0.1341,0.8891,0.978
18:14:24:938,0.3225,0.1380,0.8871,0.979
18:14:24:940,0.3298,0.1429,0.8869,0.982
18:14:24:942,0.3381,0.1473,0.8891,0.987
18:14:24:943,0.3472,0.1522,0.8913,0.994
18:14:24:945,0.3479,0.1805,0.9011,1.009
18:14:24:947,0.3210,0.2333,0.9538,1.061
18:14:24:953,0.2988,0.2546,1.0076,1.110
18:14:24:954,0.3095,0.2577,0.9844,1.093
18:14:24:955,0.3362,0.2551,0.9345,1.055
18:14:24:956,0.3613,0.2443,0.9033,1.032
18:14:24:959,0.3823,0.2262,0.8886,1.021
18:14:24:960,0.4016,0.2035,0.8798,1.015
18:14:24:961,0.4107,0.1908,0.8756,1.012
18:14:24:963,0.4288,0.1654,0.8676,1.006
18:14:24:969,0.4451,0.1415,0.8598,1.002
18:14:24:970,0.4578,0.1212,0.8539,0.999
18:14:24:973,0.4661,0.1055,0.8505,0.997
18:14:24:977,0.4703,0.0943,0.8490,0.996
18:14:24:978,0.4696,0.0892,0.8483,0.994
18:14:24:978,0.4637,0.0889,0.8507,0.994
18:14:24:979,0.4522,0.0926,0.8571,0.995
18:14:24:980,0.4376,0.0992,0.8654,0.996
18:14:24:981,0.4190,0.1068,0.8769,1.000
18:14:24:984,0.3987,0.1151,0.8910,1.006
18:14:24:989,0.3777,0.1251,0.9047,1.012
18:14:24:990,0.3579,0.1351,0.9167,1.017
18:14:24:991,0.3386,0.1451,0.9267,1.022
18:14:24:992,0.3198,0.1559,0.9362,1.027
18:14:24:993,0.3022,0.1661,0.9465,1.033
18:14:24:995,0.2880,0.1752,0.9555,1.039
18:14:24:997,0.2780,0.1827,0.9638,1.046
18:14:25:003,0.2707,0.1886,0.9717,1.053
18:14:25:004,0.2658,0.1930,0.9785,1.059
18:14:25:005,0.2643,0.1972,0.9839,1.065
18:14:25:006,0.2646,0.1998,0.9900,1.071
18:14:25:007,0.2656,0.2001,0.9966,1.078
18:14:25:009,0.2678,0.1979,1.0027,1.084
18:14:25:011,0.2707,0.1937,1.0073,1.088
18:14:25:014,0.2736,0.1886,1.0112,1.091
18:14:25:015,0.2768,0.1827,1.0139,1.093
18:14:25:020,0.2797,0.1769,1.0164,1.095
18:14:25:021,0.2805,0.1715,1.0176,1.095
18:14:25:022,0.2790,0.1656,1.0166,1.093
18:14:25:023,0.2780,0.1588,1.0147,1.089
18:14:25:026,0.2773,0.1524,1.0110,1.084
18:14:25:028,0.2763,0.1480,1.0073,1.080
18:14:25:029,0.2748,0.1439,1.0044,1.076
18:14:25:031,0.2731,0.1393,1.0012,1.072
18:14:25:033,0.2719,0.1361,0.9973,1.067
18:14:25:043,0.2709,0.1353,0.9932,1.063
18:14:25:044,0.2702,0.1358,0.9912,1.061
18:14:25:045,0.2680,0.1368,0.9873,1.057
18:14:25:047,0.2660,0.1363,0.9831,1.052
18:14:25:048,0.2646,0.1371,0.9785,1.047
18:14:25:050,0.2624,0.1383,0.9758,1.045
18:14:25:051,0.2602,0.1383,0.9743,1.043
18:14:25:052,0.2577,0.1388,0.9724,1.040
18:14:25:053,0.2546,0.1393,0.9724,1.040
18:14:25:054,0.2516,0.1395,0.9724,1.039
18:14:25:055,0.2489,0.1410,0.9704,1.037
18:14:25:059,0.2453,0.1419,0.9685,1.034
18:14:25:061,0.2416,0.1422,0.9663,1.031
18:14:25:061,0.2389,0.1422,0.9643,1.029
18:14:25:063,0.2362,0.1429,0.9616,1.026
18:14:25:065,0.2338,0.1429,0.9587,1.022
18:14:25:069,0.2321,0.1422,0.9555,1.019
18:14:25:070,0.2301,0.1410,0.9507,1.013
18:14:25:071,0.2289,0.1402,0.9441,1.007
18:14:25:073,0.2272,0.1393,0.9367,0.999
18:14:25:076,0.2250,0.1371,0.9287,0.991
18:14:25:077,0.2235,0.1331,0.9216,0.983
18:14:25:079,0.2218,0.1287,0.9147,0.975
18:14:25:081,0.2194,0.1241,0.9062,0.965
18:14:25:084,0.2172,0.1195,0.8971,0.955
18:14:25:086,0.2155,0.1136,0.8886,0.946
18:14:25:088,0.2165,0.1070,0.8798,0.936
18:14:25:089,0.2187,0.1024,0.8686,0.925
18:14:25:091,0.2191,0.1019,0.8549,0.912
18:14:25:093,0.2172,0.1058,0.8385,0.897
18:14:25:095,0.2152,0.1116,0.8236,0.883
18:14:25:097,0.2140,0.1168,0.8121,0.873
18:14:25:099,0.2103,0.1219,0.8033,0.865
18:14:25:102,0.2035,0.1273,0.7965,0.858
18:14:25:104,0.1942,0.1307,0.7901,0.850
18:14:25:105,0.1840,0.1317,0.7840,0.842
18:14:25:107,0.1732,0.1312,0.7762,0.832
18:14:25:109,0.1632,0.1287,0.7686,0.823
18:14:25:111,0.1539,0.1253,0.7618,0.814
18:14:25:113,0.1493,0.1236,0.7589,0.810
18:14:25:115,0.1397,0.1214,0.7550,0.804
18:14:25:118,0.1312,0.1195,0.7542,0.801
18:14:25:120,0.1268,0.1175,0.7559,0.802
18:14:25:122,0.1248,0.1153,0.7601,0.805
18:14:25:123,0.1258,0.1126,0.7652,0.810
18:14:25:125,0.1300,0.1090,0.7701,0.814
18:14:25:127,0.1378,0.1048,0.7747,0.819
18:14:25:129,0.1478,0.0999,0.7801,0.825
18:14:25:131,0.1590,0.0948,0.7870,0.833
18:14:25:137,0.1727,0.0892,0.7936,0.841
18:14:25:138,0.1881,0.0833,0.7999,0.849
18:14:25:139,0.2047,0.0777,0.8065,0.859
18:14:25:140,0.2211,0.0723,0.8112,0.866
18:14:25:141,0.2365,0.0691,0.8129,0.872
18:14:25:144,0.2516,0.0677,0.8129,0.876
18:14:25:145,0.2673,0.0655,0.8116,0.879
18:14:25:147,0.2834,0.0633,0.8104,0.882
18:14:25:149,0.2983,0.0613,0.8082,0.885
18:14:25:153,0.3127,0.0594,0.8046,0.886
18:14:25:155,0.3274,0.0581,0.7999,0.887
18:14:25:156,0.3423,0.0579,0.7928,0.886
18:14:25:157,0.3569,0.0591,0.7831,0.883
18:14:25:159,0.3706,0.0630,0.7691,0.877
18:14:25:161,0.3853,0.0687,0.7537,0.870
18:14:25:163,0.3977,0.0735,0.7410,0.865
18:14:25:165,0.3911,0.0723,0.7564,0.875
18:14:25:169,0.3787,0.0594,0.8170,0.923
18:14:25:170,0.3865,0.0362,0.9184,1.016
18:14:25:171,0.4073,0.0112,1.0237,1.120
18:14:25:173,0.4205,-0.0051,1.0706,1.167
18:14:25:175,0.4244,-0.0088,1.0335,1.134
18:14:25:177,0.4398,-0.0022,0.9416,1.056
18:14:25:179,0.4837,0.0086,0.8446,0.990
18:14:25:181,0.5157,0.0132,0.8065,0.974
18:14:25:183,0.5912,0.0176,0.7608,0.979
18:14:25:186,0.6684,0.0164,0.7545,1.023
18:14:25:187,0.7368,0.0147,0.7723,1.081
18:14:25:189,0.7898,0.0161,0.7938,1.134
18:14:25:191,0.8275,0.0230,0.8043,1.168
18:14:25:193,0.8634,0.0340,0.8009,1.192
18:14:25:195,0.9179,0.0459,0.7894,1.225
18:14:25:197,0.9921,0.0567,0.7777,1.275
18:14:25:199,1.0725,0.0669,0.7704,1.335
18:14:25:202,1.1402,0.0782,0.7657,1.388
18:14:25:203,1.1910,0.0901,0.7533,1.424
18:14:25:204,1.2323,0.1019,0.7222,1.444
18:14:25:207,1.2391,0.1136,0.6844,1.432
