time,gFx,gFy,gFz,0
18:19:08:306,0.9074,0.0120,0.2949,0.960
18:19:08:309,0.9091,0.0105,0.2966,0.962
18:19:08:311,0.9110,0.0090,0.2969,0.964
18:19:08:314,0.9122,0.0083,0.2976,0.965
18:19:08:316,0.9135,0.0081,0.2984,0.967
18:19:08:319,0.9147,0.0071,0.3003,0.969
18:19:08:321,0.9159,0.0071,0.3032,0.971
18:19:08:323,0.9171,0.0068,0.3074,0.973
18:19:08:326,0.9188,0.0068,0.3123,0.976
18:19:08:328,0.9210,0.0076,0.3184,0.981
18:19:08:330,0.9235,0.0086,0.3260,0.986
18:19:08:333,0.9262,0.0093,0.3333,0.991
18:19:08:334,0.9291,0.0098,0.3404,0.996
18:19:08:336,0.9318,0.0100,0.3484,1.001
18:19:08:338,0.9345,0.0105,0.3565,1.007
18:19:08:340,0.9381,0.0110,0.3628,1.013
18:19:08:342,0.9425,0.0107,0.3682,1.019
18:19:08:343,0.9462,0.0093,0.3743,1.024
18:19:08:344,0.9494,0.0078,0.3792,1.029
18:19:08:344,0.9526,0.0073,0.3829,1.034
18:19:08:345,0.9547,0.0064,0.3853,1.036
18:19:08:346,0.9574,0.0049,0.3863,1.039
18:19:08:347,0.9596,0.0039,0.3856,1.041
18:19:08:347,0.9609,0.0029,0.3843,1.042
18:19:08:348,0.9621,0.0017,0.3812,1.041
18:19:08:349,0.9633,0.0000,0.3780,1.041
18:19:08:350,0.9640,-0.0012,0.3753,1.041
18:19:08:353,0.9643,-0.0017,0.3724,1.040
18:19:08:355,0.9640,-0.0010,0.3694,1.039
18:19:08:355,0.9626,-0.0005,0.3660,1.036
18:19:08:358,0.9604,-0.0002,0.3638,1.033
18:19:08:368,0.9569,0.0007,0.3619,1.029
18:19:08:370,0.9530,0.0027,0.3592,1.025
18:19:08:371,0.9496,0.0042,0.3565,1.021
18:19:08:372,0.9482,0.0044,0.3553,1.019
18:19:08:373,0.9460,0.0044,0.3531,1.016
18:19:08:374,0.9445,0.0039,0.3516,1.014
18:19:08:375,0.9438,0.0044,0.3506,1.013
18:19:08:376,0.9438,0.0054,0.3501,1.013
18:19:08:377,0.9440,0.0051,0.3499,1.013
18:19:08:378,0.9442,0.0046,0.3497,1.013
18:19:08:379,0.9445,0.0046,0.3497,1.013
18:19:08:383,0.9442,0.0051,0.3497,1.013
18:19:08:384,0.9428,0.0051,0.3484,1.011
18:19:08:385,0.9406,0.0054,0.3462,1.009
18:19:08:387,0.9379,0.0061,0.3440,1.005
18:19:08:390,0.9357,0.0061,0.3411,1.002
18:19:08:392,0.9335,0.0059,0.3382,0.999
18:19:08:394,0.9315,0.0059,0.3370,0.997
18:19:08:401,0.9308,0.0064,0.3365,0.996
18:19:08:402,0.9308,0.0061,0.3360,0.996
18:19:08:403,0.9303,0.0061,0.3355,0.995
18:19:08:404,0.9303,0.0054,0.3360,0.995
18:19:08:405,0.9320,0.0044,0.3360,0.997
18:19:08:406,0.9345,0.0042,0.3365,0.999
18:19:08:407,0.9364,0.0039,0.3370,1.001
