time,gFx,gFy,gFz,0
22:24:06:218,0.8543,0.0967,0.9099,1.269
22:24:06:219,0.8736,0.0967,0.9133,1.284
22:24:06:220,0.8863,0.0967,0.9145,1.294
22:24:06:221,0.8905,0.0936,0.9157,1.297
22:24:06:222,0.8927,0.0875,0.9245,1.304
22:24:06:224,0.8939,0.0801,0.9423,1.317
22:24:06:226,0.8932,0.0740,0.9533,1.324
22:24:06:227,0.8863,0.0708,0.9492,1.316
22:24:06:227,0.8744,0.0696,0.9328,1.296
22:24:06:228,0.8641,0.0699,0.9106,1.273
22:24:06:229,0.8580,0.0716,0.8881,1.253
22:24:06:231,0.8595,0.0718,0.8678,1.239
22:24:06:232,0.8705,0.0760,0.8515,1.236
22:24:06:234,0.8758,0.0794,0.8351,1.228
22:24:06:235,0.8663,0.0804,0.8173,1.209
22:24:06:235,0.8563,0.0823,0.7984,1.189
22:24:06:236,0.8458,0.0848,0.7679,1.161
22:24:06:237,0.8138,0.0919,0.7205,1.107
22:24:06:237,0.7730,0.1051,0.6660,1.043
22:24:06:238,0.7412,0.1192,0.6162,0.989
22:24:06:239,0.7187,0.1334,0.5720,0.946
22:24:06:240,0.6999,0.1468,0.5297,0.909
22:24:06:240,0.6877,0.1637,0.4933,0.882
22:24:06:244,0.6794,0.1793,0.4572,0.859
22:24:06:245,0.6743,0.1930,0.4215,0.839
22:24:06:246,0.6782,0.2035,0.3887,0.829
22:24:06:249,0.6960,0.2101,0.3587,0.831
22:24:06:250,0.7141,0.2184,0.3335,0.838
22:24:06:251,0.7212,0.2270,0.3135,0.839
22:24:06:259,0.7207,0.2323,0.2998,0.835
22:24:06:260,0.7224,0.2382,0.2966,0.837
22:24:06:260,0.7283,0.2443,0.2984,0.845
22:24:06:260,0.7354,0.2492,0.3006,0.854
22:24:06:264,0.7288,0.2487,0.3027,0.849
22:24:06:265,0.7246,0.2470,0.3142,0.849
22:24:06:265,0.7341,0.2487,0.3299,0.864
22:24:06:273,0.7471,0.2538,0.3440,0.882
22:24:06:274,0.7554,0.2604,0.3597,0.898
22:24:06:274,0.7559,0.2678,0.3756,0.908
22:24:06:275,0.7520,0.2751,0.3917,0.914
22:24:06:276,0.7456,0.2817,0.4090,0.919
22:24:06:278,0.7368,0.2878,0.4264,0.923
22:24:06:280,0.7319,0.2905,0.4357,0.924
22:24:06:282,0.7249,0.2946,0.4550,0.930
22:24:06:284,0.7183,0.2983,0.4755,0.937
22:24:06:286,0.7097,0.3020,0.4962,0.943
22:24:06:287,0.7014,0.3037,0.5153,0.948
22:24:06:290,0.6975,0.3037,0.5322,0.955
22:24:06:292,0.6953,0.3010,0.5461,0.960
22:24:06:294,0.6909,0.2961,0.5580,0.962
22:24:06:298,0.6863,0.2905,0.5688,0.964
22:24:06:299,0.6814,0.2863,0.5788,0.965
22:24:06:300,0.6760,0.2810,0.5852,0.963
22:24:06:302,0.6718,0.2722,0.5869,0.958
22:24:06:304,0.6701,0.2624,0.5864,0.954
22:24:06:306,0.6679,0.2533,0.5842,0.948
22:24:06:310,0.6643,0.2472,0.5857,0.944
22:24:06:310,0.6601,0.2424,0.5896,0.942
22:24:06:312,0.6572,0.2370,0.5915,0.940
22:24:06:314,0.6555,0.2296,0.5915,0.936
22:24:06:316,0.6540,0.2216,0.5901,0.932
22:24:06:318,0.6525,0.2143,0.5866,0.927
22:24:06:320,0.6503,0.2072,0.5820,0.920
22:24:06:322,0.6469,0.2011,0.5795,0.914
22:24:06:324,0.6428,0.1954,0.5798,0.910
22:24:06:326,0.6408,0.1901,0.5800,0.907
22:24:06:327,0.6423,0.1847,0.5791,0.906
22:24:06:330,0.6474,0.1783,0.5759,0.906
22:24:06:332,0.6562,0.1705,0.5732,0.909
22:24:06:336,0.6672,0.1593,0.5712,0.913
22:24:06:337,0.6799,0.1471,0.5688,0.918
22:24:06:337,0.6933,0.1353,0.5651,0.923
22:24:06:340,0.7070,0.1224,0.5617,0.929
22:24:06:342,0.7158,0.1104,0.5578,0.931
22:24:06:343,0.7224,0.0972,0.5527,0.931
22:24:06:346,0.7297,0.0831,0.5444,0.930
22:24:06:350,0.7368,0.0694,0.5344,0.927
22:24:06:351,0.7429,0.0562,0.5263,0.926
22:24:06:352,0.7510,0.0435,0.5187,0.926
22:24:06:353,0.7613,0.0298,0.5085,0.928
22:24:06:356,0.7693,0.0193,0.5009,0.929
22:24:06:357,0.7740,0.0144,0.4972,0.931
22:24:06:360,0.7742,0.0169,0.4989,0.932
22:24:06:361,0.7674,0.0244,0.5050,0.930
22:24:06:365,0.7517,0.0359,0.5153,0.924
22:24:06:367,0.7354,0.0486,0.5302,0.921
22:24:06:367,0.7249,0.0613,0.5478,0.925
22:24:06:370,0.7202,0.0730,0.5668,0.935
22:24:06:371,0.7227,0.0840,0.5859,0.950
22:24:06:374,0.7273,0.0950,0.6037,0.966
22:24:06:376,0.7300,0.1053,0.6218,0.982
22:24:06:378,0.7349,0.1153,0.6394,0.999
22:24:06:379,0.7420,0.1256,0.6546,1.015
22:24:06:383,0.7508,0.1356,0.6668,1.032
22:24:06:384,0.7613,0.1449,0.6775,1.048
22:24:06:385,0.7740,0.1544,0.6866,1.065
22:24:06:387,0.7874,0.1620,0.6914,1.080
22:24:06:390,0.7964,0.1695,0.6897,1.087
22:24:06:392,0.8045,0.1766,0.6822,1.089
22:24:06:398,0.8157,0.1823,0.6719,1.092
22:24:06:400,0.8289,0.1876,0.6602,1.096
22:24:06:402,0.8429,0.1937,0.6458,1.099
22:24:06:404,0.8592,0.1979,0.6340,1.105
22:24:06:405,0.8756,0.2003,0.6240,1.113
22:24:06:407,0.8898,0.2013,0.6133,1.118
22:24:06:408,0.9037,0.2008,0.6013,1.122
22:24:06:409,0.9188,0.1972,0.5883,1.127
22:24:06:410,0.9306,0.1962,0.5756,1.129
22:24:06:411,0.9359,0.2018,0.5632,1.129
22:24:06:415,0.9323,0.2133,0.5534,1.123
22:24:06:416,0.9245,0.2250,0.5522,1.119
22:24:06:420,0.9176,0.2336,0.5554,1.117
22:24:06:421,0.9105,0.2406,0.5615,1.116
22:24:06:423,0.9042,0.2465,0.5705,1.117
22:24:06:424,0.9000,0.2507,0.5803,1.120
22:24:06:425,0.8946,0.2560,0.5893,1.122
22:24:06:427,0.8885,0.2629,0.5959,1.123
22:24:06:429,0.8771,0.2695,0.5974,1.117
22:24:06:432,0.8514,0.2731,0.5891,1.093
22:24:06:433,0.8236,0.2744,0.5793,1.066
22:24:06:435,0.8011,0.2734,0.5730,1.045
22:24:06:438,0.7847,0.2700,0.5683,1.029
22:24:06:439,0.7732,0.2653,0.5629,1.016
22:24:06:442,0.7644,0.2612,0.5580,1.005
22:24:06:443,0.7569,0.2560,0.5534,0.995
22:24:06:446,0.7522,0.2494,0.5493,0.987
22:24:06:449,0.7505,0.2441,0.5461,0.982
22:24:06:450,0.7544,0.2382,0.5434,0.982
22:24:06:451,0.7617,0.2323,0.5419,0.985
22:24:06:454,0.7703,0.2262,0.5419,0.990
22:24:06:456,0.7759,0.2213,0.5436,0.994
22:24:06:457,0.7828,0.2182,0.5461,1.000
22:24:06:459,0.7903,0.2172,0.5449,1.005
22:24:06:461,0.7947,0.2155,0.5441,1.007
22:24:06:463,0.8013,0.2140,0.5456,1.013
22:24:06:466,0.8094,0.2125,0.5449,1.019
22:24:06:467,0.8153,0.2111,0.5424,1.022
22:24:06:469,0.8204,0.2081,0.5407,1.024
22:24:06:471,0.8258,0.2067,0.5400,1.028
22:24:06:473,0.8282,0.2055,0.5380,1.028
22:24:06:475,0.8302,0.2040,0.5336,1.027
22:24:06:477,0.8319,0.2023,0.5280,1.025
22:24:06:479,0.8331,0.2016,0.5234,1.023
22:24:06:482,0.8365,0.2020,0.5194,1.024
22:24:06:484,0.8394,0.2045,0.5151,1.025
22:24:06:485,0.8380,0.2067,0.5107,1.022
22:24:06:488,0.8275,0.2077,0.5119,1.014
22:24:06:489,0.8109,0.2079,0.5199,1.005
22:24:06:491,0.7942,0.2089,0.5319,0.999
22:24:06:494,0.7830,0.2099,0.5405,0.995
22:24:06:495,0.7779,0.2096,0.5397,0.990
22:24:06:499,0.7754,0.2074,0.5358,0.986
22:24:06:500,0.7708,0.2045,0.5368,0.982
22:24:06:502,0.7647,0.2030,0.5417,0.979
22:24:06:503,0.7593,0.2008,0.5444,0.976
22:24:06:505,0.7559,0.1976,0.5427,0.972
22:24:06:507,0.7561,0.1937,0.5395,0.969
22:24:06:510,0.7583,0.1893,0.5373,0.968
22:24:06:511,0.7613,0.1857,0.5378,0.970
22:24:06:513,0.7642,0.1823,0.5395,0.973
22:24:06:517,0.7661,0.1783,0.5407,0.974
22:24:06:519,0.7681,0.1744,0.5412,0.975
22:24:06:519,0.7705,0.1703,0.5414,0.976
22:24:06:522,0.7715,0.1681,0.5417,0.976
22:24:06:523,0.7730,0.1647,0.5424,0.977
22:24:06:526,0.7720,0.1605,0.5419,0.975
22:24:06:527,0.7627,0.1529,0.5405,0.965
22:24:06:529,0.7483,0.1451,0.5407,0.953
22:24:06:533,0.7407,0.1393,0.5458,0.949
22:24:06:535,0.7395,0.1346,0.5522,0.950
22:24:06:535,0.7434,0.1312,0.5571,0.956
22:24:06:537,0.7478,0.1307,0.5595,0.961
22:24:06:539,0.7459,0.1322,0.5659,0.963
22:24:06:541,0.7361,0.1344,0.5786,0.964
22:24:06:543,0.7263,0.1361,0.5920,0.965
22:24:06:545,0.7241,0.1383,0.5993,0.969
22:24:06:551,0.7324,0.1410,0.5976,0.974
22:24:06:553,0.7539,0.1456,0.5886,0.986
22:24:06:554,0.7847,0.1502,0.5737,1.002
