time,gFx,gFy,gFz,0
18:23:48:793,1.1343,0.0970,0.1728,1.158
18:23:48:794,1.1372,0.1268,0.2075,1.171
18:23:48:796,1.1263,0.1512,0.2485,1.173
18:23:48:797,1.1060,0.1691,0.2861,1.166
18:23:48:799,1.0835,0.1815,0.3177,1.156
18:23:48:801,1.0635,0.1874,0.3392,1.145
18:23:48:803,1.0488,0.1874,0.3516,1.135
18:23:48:805,1.0412,0.1832,0.3563,1.129
18:23:48:808,1.0417,0.1771,0.3533,1.127
18:23:48:810,1.0478,0.1700,0.3426,1.128
18:23:48:811,1.0539,0.1644,0.3247,1.127
18:23:48:813,1.0539,0.1595,0.3020,1.119
18:23:48:815,1.0483,0.1542,0.2803,1.107
18:23:48:817,1.0383,0.1527,0.2556,1.091
18:23:48:819,1.0239,0.1544,0.2304,1.071
18:23:48:821,1.0078,0.1586,0.2119,1.053
18:23:48:838,0.9919,0.1637,0.2070,1.037
18:23:48:840,0.9750,0.1691,0.2133,1.024
18:23:48:841,0.9538,0.1725,0.2275,1.008
18:23:48:842,0.9320,0.1742,0.2429,0.992
18:23:48:843,0.9103,0.1744,0.2546,0.975
18:23:48:844,0.8951,0.1717,0.2646,0.963
18:23:48:845,0.8868,0.1656,0.2712,0.956
18:23:48:846,0.8841,0.1612,0.2744,0.953
18:23:48:847,0.8827,0.1510,0.2786,0.951
18:23:48:847,0.8834,0.1393,0.2776,0.949
18:23:48:848,0.8815,0.1270,0.2715,0.943
18:23:48:849,0.8727,0.1136,0.2637,0.930
18:23:48:850,0.8646,0.0994,0.2544,0.917
18:23:48:851,0.8692,0.0870,0.2456,0.917
18:23:48:851,0.8815,0.0772,0.2407,0.926
18:23:48:855,0.8939,0.0701,0.2343,0.935
18:23:48:857,0.9005,0.0655,0.2270,0.939
18:23:48:858,0.9027,0.0608,0.2199,0.938
18:23:48:859,0.9015,0.0562,0.2092,0.934
18:23:48:869,0.8978,0.0537,0.1921,0.926
18:23:48:871,0.8946,0.0535,0.1738,0.919
18:23:48:872,0.8888,0.0542,0.1549,0.910
18:23:48:873,0.8827,0.0577,0.1359,0.901
18:23:48:874,0.8778,0.0643,0.1200,0.894
18:23:48:875,0.8719,0.0711,0.1071,0.887
18:23:48:876,0.8651,0.0772,0.0961,0.880
18:23:48:877,0.8585,0.0833,0.0895,0.874
18:23:48:878,0.8553,0.0897,0.0870,0.871
18:23:48:879,0.8626,0.0904,0.0824,0.878
18:23:48:882,0.8841,0.0816,0.0785,0.897
18:23:48:884,0.9027,0.0726,0.0865,0.915
18:23:48:886,0.9142,0.0689,0.1049,0.928
18:23:48:887,0.9247,0.0674,0.1225,0.941
18:23:48:889,0.9413,0.0638,0.1393,0.959
18:23:48:892,0.9577,0.0599,0.1584,0.978
18:23:48:893,0.9733,0.0564,0.1747,0.996
18:23:48:895,0.9880,0.0525,0.1850,1.012
18:23:48:897,0.9973,0.0511,0.1965,1.023
18:23:48:899,1.0012,0.0518,0.2202,1.032
18:23:48:900,1.0046,0.0559,0.2556,1.045
18:23:48:903,1.0053,0.0621,0.2903,1.056
18:23:48:904,1.0004,0.0726,0.3177,1.061
18:23:48:909,0.9973,0.0853,0.3392,1.066
18:23:48:910,0.9965,0.0914,0.3482,1.069
18:23:48:911,0.9953,0.1036,0.3607,1.074
18:23:48:912,0.9921,0.1165,0.3665,1.075
18:23:48:915,0.9899,0.1290,0.3675,1.076
18:23:48:917,0.9890,0.1388,0.3633,1.075
18:23:48:919,0.9860,0.1466,0.3558,1.071
18:23:48:920,0.9833,0.1527,0.3477,1.067
18:23:48:924,0.9799,0.1566,0.3406,1.062
18:23:48:925,0.9758,0.1581,0.3338,1.056
18:23:48:926,0.9711,0.1566,0.3267,1.049
18:23:48:928,0.9670,0.1537,0.3203,1.043
18:23:48:931,0.9670,0.1466,0.3184,1.041
18:23:48:932,0.9728,0.1356,0.3211,1.045
18:23:48:934,0.9740,0.1295,0.3135,1.043
18:23:48:936,0.9736,0.1256,0.2998,1.037
18:23:48:939,0.9743,0.1200,0.2825,1.032
