time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.977562,0.0110,-0.0267,0.1542,0.157
0.985380,0.0064,-0.0421,0.2379,0.242
0.993769,0.0186,-0.0457,0.2737,0.278
1.001443,0.0280,-0.0450,0.2784,0.283
1.017261,0.0160,-0.0350,0.2568,0.260
1.019711,-0.0175,-0.0180,0.2592,0.260
1.040219,-0.0316,-0.0249,0.2759,0.279
1.042968,-0.0843,-0.0223,0.3118,0.324
1.044557,-0.0915,-0.0008,0.3070,0.320
1.049155,-0.0901,0.0085,0.2615,0.277
1.057702,-0.0629,0.0296,0.2063,0.218
1.064872,-0.0359,0.0434,0.1176,0.130
1.073655,-0.0119,0.0502,0.0959,0.109
1.081070,-0.0285,0.0643,0.0862,0.111
1.090175,-0.0497,0.0715,0.0956,0.129
1.096613,-0.0418,0.0689,0.0978,0.127
1.104601,-0.0333,0.0759,0.1026,0.132
1.112798,-0.0243,0.0757,0.1289,0.151
1.120621,-0.0150,0.0708,0.1600,0.176
1.129608,-0.0059,0.0611,0.2030,0.212
1.138328,-0.0043,0.0469,0.2221,0.227
1.150335,0.0205,0.0403,0.2339,0.238
1.152486,0.0328,0.0243,0.2145,0.218
1.160289,0.0210,0.0303,0.2141,0.217
1.168341,-0.0265,0.0385,0.2306,0.235
1.176084,-0.0332,0.0489,0.2567,0.263
1.184271,-0.0231,0.0444,0.2685,0.273
1.192207,-0.0224,0.0347,0.2540,0.257
1.200191,-0.0094,0.0460,0.1845,0.190
1.208216,-0.0108,0.0380,0.1390,0.144
1.216130,-0.0240,0.0254,0.1294,0.134
1.231289,-0.0277,0.0205,0.1580,0.162
1.233080,-0.0248,0.0090,0.2033,0.205
1.255216,-0.0176,0.0002,0.2173,0.218
1.257445,-0.0134,0.0130,0.2194,0.220
1.259037,-0.0094,0.0138,0.1975,0.198
1.263819,0.0041,0.0119,0.1876,0.188
1.273199,0.0227,0.0075,0.1921,0.194
1.279718,0.0252,0.0098,0.1727,0.175
1.287926,0.0044,-0.0075,0.1822,0.182
1.295925,-0.0039,0.0083,0.1751,0.175
1.303965,-0.0236,0.0146,0.1392,0.142
1.314806,-0.0525,0.0182,0.1273,0.139
1.320202,-0.0623,0.0147,0.1274,0.143
1.339931,-0.0487,0.0069,0.1203,0.130
1.342472,-0.0475,-0.0028,0.1393,0.147
1.343994,-0.0278,-0.0119,0.1391,0.142
1.351931,-0.0275,0.0008,0.1508,0.153
1.360601,-0.0201,0.0183,0.1626,0.165
1.368055,-0.0552,0.0189,0.1671,0.177
1.375864,-0.0659,0.0169,0.1598,0.174
1.383493,-0.0737,0.0098,0.1717,0.187
1.391816,-0.0741,0.0123,0.2100,0.223
1.399445,-0.0578,0.0123,0.2554,0.262
1.409706,-0.0446,0.0195,0.2242,0.229
1.415862,-0.0317,0.0192,0.1930,0.197
1.425561,-0.0286,0.0190,0.1426,0.147
1.431556,-0.0017,0.0144,0.1329,0.134
1.439931,-0.0082,0.0101,0.1446,0.145
1.452747,-0.0169,0.0083,0.2019,0.203
1.455987,-0.0018,0.0252,0.2353,0.237
1.479545,-0.0177,0.0272,0.2208,0.223
1.482228,-0.0042,0.0386,0.1825,0.187
1.483831,-0.0094,0.0303,0.1611,0.164
1.487391,-0.0024,0.0291,0.1444,0.147
1.494926,-0.0123,0.0259,0.1205,0.124
1.502868,-0.0390,0.0448,0.1134,0.128
1.514908,-0.0372,0.0573,0.1372,0.153
1.519359,-0.0095,0.0461,0.1801,0.186
1.532225,-0.0086,0.0397,0.1991,0.203
1.534620,-0.0173,0.0334,0.2348,0.238
1.542667,-0.0091,0.0411,0.2394,0.243
1.550455,0.0110,0.0293,0.2273,0.229
1.558695,0.0052,0.0410,0.2153,0.219
1.566719,-0.0147,0.0500,0.2296,0.235
1.575607,-0.0058,0.0442,0.1842,0.190
1.582769,0.0080,0.0384,0.1579,0.163
1.590647,0.0054,0.0281,0.1364,0.139
1.598448,-0.0090,0.0398,0.1436,0.149
1.606583,-0.0092,0.0419,0.1580,0.164
1.616228,-0.0241,0.0441,0.1891,0.196
1.622338,-0.0436,0.0368,0.2083,0.216
1.634943,-0.0509,0.0271,0.2418,0.249
1.638419,-0.0440,0.0003,0.2275,0.232
1.646280,-0.0204,-0.0052,0.1964,0.198
1.654312,-0.0303,-0.0038,0.1989,0.201
1.662129,-0.0356,0.0048,0.2157,0.219
1.670200,-0.0363,-0.0009,0.2205,0.223
1.678217,-0.0296,0.0053,0.2182,0.220
