time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
4.281257,-0.0402,0.0322,0.2798,0.284
4.283422,-0.0162,0.0128,0.3059,0.307
4.303848,-0.0112,0.0047,0.3249,0.325
4.306368,-0.0086,0.0006,0.3057,0.306
4.307955,-0.0378,0.0008,0.2338,0.237
4.315006,-0.0652,0.0125,0.1763,0.188
4.323143,-0.0613,0.0218,0.1260,0.142
4.331289,-0.0857,0.0266,0.1212,0.151
4.343361,-0.0572,0.0003,0.0924,0.109
4.347302,-0.0621,0.0102,0.0804,0.102
4.363757,-0.0693,0.0203,0.0540,0.090
4.365503,-0.0955,0.0282,0.0228,0.102
4.373371,-0.1093,0.0268,0.0228,0.115
4.378969,-0.0874,0.0165,0.0657,0.111
4.387078,-0.0565,-0.0224,0.0775,0.098
4.394814,-0.0434,-0.0341,0.1202,0.132
4.403337,-0.0427,-0.0481,0.1748,0.186
4.410771,-0.0544,-0.0382,0.2199,0.230
4.420063,-0.0523,-0.0236,0.2505,0.257
4.426878,-0.0706,-0.0044,0.2404,0.251
4.435035,-0.0782,0.0291,0.1919,0.209
4.447342,-0.0705,0.0674,0.1529,0.181
4.451005,-0.0499,0.0964,0.1042,0.150
4.478754,-0.0248,0.1114,0.0889,0.145
4.481131,0.0174,0.1075,0.1096,0.155
4.482906,0.0344,0.0846,0.1686,0.192
4.484306,0.0484,0.0924,0.2159,0.240
4.491179,0.0642,0.0707,0.2585,0.276
4.499010,0.0648,0.0842,0.2870,0.306
4.507293,0.0571,0.1015,0.2941,0.316
4.514832,0.0212,0.0870,0.2749,0.289
4.522777,0.0072,0.0889,0.2080,0.226
4.530740,-0.0069,0.0836,0.1697,0.189
4.545656,-0.0234,0.0785,0.1602,0.180
4.548012,-0.0353,0.0809,0.1674,0.189
4.572041,-0.0141,0.0504,0.1937,0.201
4.574553,-0.0075,0.0392,0.2366,0.240
4.575787,0.0397,0.0236,0.2604,0.264
4.578122,0.0583,0.0149,0.2555,0.262
4.587017,0.0555,0.0106,0.2267,0.234
4.594487,0.0648,0.0082,0.1979,0.208
4.602680,0.0455,-0.0015,0.1812,0.187
4.610644,0.0288,0.0079,0.1405,0.144
4.618079,0.0029,-0.0040,0.1333,0.133
4.631129,-0.0106,-0.0159,0.1430,0.144
4.634912,-0.0096,-0.0247,0.1765,0.178
4.656842,-0.0276,-0.0308,0.1908,0.195
4.659128,-0.0288,-0.0247,0.1955,0.199
4.660665,-0.0306,-0.0254,0.2098,0.214
4.666335,-0.0186,-0.0088,0.2143,0.215
4.673798,-0.0381,0.0200,0.2164,0.221
4.681791,-0.0361,0.0128,0.2210,0.224
4.689699,-0.0339,0.0147,0.2280,0.231
4.697635,-0.0333,0.0206,0.2303,0.234
4.705500,-0.0273,0.0041,0.2112,0.213
4.713463,-0.0376,-0.0104,0.2041,0.208
4.721708,-0.0571,0.0106,0.1756,0.185
4.729355,-0.0699,0.0388,0.1542,0.174
4.744180,-0.0694,0.0645,0.0896,0.130
4.745731,-0.0598,0.0645,0.0657,0.110
4.753555,-0.0459,0.0435,0.0680,0.093
4.761534,-0.0325,0.0446,0.0654,0.086
4.769426,-0.0430,0.0293,0.0700,0.087
4.777556,-0.0406,0.0167,0.1225,0.130
4.785121,-0.0471,0.0279,0.1822,0.190
4.793176,-0.0077,0.0081,0.2228,0.223
4.800991,-0.0041,0.0121,0.2419,0.242
4.809319,-0.0008,0.0160,0.2298,0.230
4.817117,0.0116,0.0293,0.2489,0.251
4.828799,0.0025,0.0354,0.2751,0.277
4.833330,0.0053,0.0271,0.3014,0.303
4.849289,0.0198,0.0184,0.3181,0.319
4.850975,0.0295,-0.0000,0.3036,0.305
4.861361,0.0274,0.0077,0.2868,0.288
4.865036,0.0304,0.0079,0.2773,0.279
4.873165,0.0004,0.0151,0.2726,0.273
4.881112,-0.0219,0.0296,0.2463,0.249
4.890203,-0.0344,0.0415,0.2201,0.227
4.897201,-0.0417,0.0390,0.1939,0.202
4.906505,-0.0418,0.0318,0.1893,0.196
4.912914,-0.0203,0.0125,0.2158,0.217
4.922689,0.0224,-0.0140,0.2327,0.234
4.928989,0.0575,-0.0214,0.2616,0.269
4.937448,0.0798,-0.0241,0.2784,0.291
4.951376,0.0750,-0.0102,0.2330,0.245
4.954389,0.0437,0.0060,0.1923,0.197
4.975457,0.0175,0.0125,0.1828,0.184
4.977581,-0.0014,0.0167,0.1757,0.177
4.978958,-0.0205,0.0066,0.1806,0.182
4.984797,-0.0235,0.0087,0.1973,0.199
4.993798,-0.0146,0.0372,0.2069,0.211
5.002362,-0.0123,0.0560,0.2189,0.226
5.008550,-0.0338,0.0648,0.1830,0.197
5.016635,-0.0546,0.0618,0.1855,0.203
5.026018,-0.0868,0.0517,0.1785,0.205
5.032631,-0.1068,0.0465,0.1762,0.211
5.049046,-0.0914,0.0339,0.1500,0.179
5.051705,-0.0789,0.0546,0.1310,0.162
5.060572,-0.0622,0.0486,0.1263,0.149
5.086638,-0.0267,0.0615,0.1241,0.141
5.089249,-0.0181,0.0478,0.1433,0.152
5.090748,-0.0194,0.0344,0.1649,0.170
5.092139,0.0006,-0.0027,0.2128,0.213
5.096631,0.0066,-0.0229,0.2655,0.267
5.104077,0.0057,-0.0332,0.2751,0.277
5.111870,0.0030,-0.0529,0.2680,0.273
5.119903,-0.0015,-0.0295,0.2441,0.246
5.132969,-0.0105,-0.0181,0.2011,0.202
5.136188,-0.0123,-0.0066,0.1150,0.116
5.154881,-0.0257,-0.0334,0.1031,0.111
5.158826,-0.0078,-0.0361,0.1128,0.119
5.160765,0.0005,-0.0412,0.1153,0.122
5.167700,-0.0106,-0.0204,0.0939,0.097
5.177311,-0.0104,0.0096,0.0390,0.041
5.183875,-0.0154,0.0155,0.0151,0.027
5.192709,-0.0014,0.0044,0.0225,0.023
5.199638,-0.0211,-0.0113,0.0896,0.093
5.207869,-0.0094,-0.0198,0.1567,0.158
5.215699,-0.0124,-0.0235,0.2071,0.209
5.224891,-0.0251,-0.0175,0.2263,0.228
5.234126,-0.0357,-0.0161,0.2144,0.218
5.244731,-0.0203,-0.0094,0.2455,0.247
5.247624,-0.0126,-0.0048,0.2645,0.265
5.255466,-0.0053,0.0095,0.2955,0.296
5.267972,-0.0170,0.0405,0.2714,0.275
5.306365,-0.0211,0.0472,0.2426,0.248
5.308549,-0.0247,0.0727,0.1996,0.214
5.310166,-0.0349,0.0762,0.1853,0.203
5.311460,-0.0426,0.0937,0.1495,0.181
5.312882,-0.0453,0.1134,0.1066,0.162
5.314343,-0.0551,0.0973,0.0924,0.145
5.318837,-0.0554,0.0791,0.1260,0.159
5.326976,-0.0678,0.0804,0.1692,0.199
5.334919,-0.0759,0.0774,0.1884,0.217
5.347079,-0.0675,0.0768,0.1764,0.204
5.350916,-0.0663,0.0735,0.1453,0.176
5.364280,-0.0336,0.0678,0.1381,0.157
5.366797,-0.0053,0.0333,0.1382,0.142
5.375200,0.0208,0.0084,0.1431,0.145
5.382474,0.0160,-0.0091,0.1671,0.168
5.391363,-0.0029,0.0023,0.1504,0.150
5.398561,-0.0241,0.0092,0.1433,0.146
5.407856,-0.0264,0.0191,0.1073,0.112
5.414713,-0.0290,0.0125,0.1120,0.116
5.422650,-0.0268,0.0111,0.1239,0.127
5.430528,-0.0605,0.0147,0.1525,0.165
5.438528,-0.0605,0.0040,0.1524,0.164
5.448535,-0.0768,0.0146,0.1331,0.154
5.454537,-0.0710,-0.0062,0.1307,0.149
5.467210,-0.0769,-0.0077,0.1690,0.186
5.470517,-0.0802,-0.0140,0.2265,0.241
5.478530,-0.0647,0.0035,0.2480,0.256
5.486483,-0.0407,0.0110,0.2408,0.244
5.494415,-0.0296,0.0135,0.1977,0.200
5.502506,-0.0147,0.0279,0.1712,0.174
5.510462,-0.0045,0.0327,0.1447,0.148
5.518535,0.0130,0.0473,0.1326,0.141
5.527983,0.0045,0.0548,0.1373,0.148
5.534233,0.0042,0.0623,0.1660,0.177
5.549820,-0.0194,0.0674,0.1540,0.169
5.552744,-0.0539,0.0699,0.1301,0.157
5.571973,-0.0567,0.0724,0.1231,0.154
5.574681,-0.0263,0.0679,0.0825,0.110
5.576262,0.0009,0.0759,0.0776,0.109
5.582654,-0.0016,0.0774,0.1110,0.135
5.590834,-0.0169,0.0649,0.1419,0.157
5.598344,-0.0301,0.0526,0.1607,0.172
5.606722,-0.0462,0.0380,0.1724,0.182
5.614359,-0.0597,0.0208,0.1864,0.197
5.622092,-0.0464,0.0010,0.2077,0.213
5.637334,-0.0278,0.0002,0.2123,0.214
5.639391,-0.0013,0.0014,0.2290,0.229
5.658271,0.0207,0.0167,0.2385,0.240
5.660203,0.0215,0.0124,0.2457,0.247
5.662516,0.0103,0.0010,0.2457,0.246
5.669792,-0.0057,-0.0006,0.2528,0.253
5.677907,-0.0127,-0.0068,0.2360,0.236
5.686035,-0.0156,0.0016,0.2286,0.229
5.694863,-0.0359,0.0198,0.2380,0.241
5.701732,-0.0228,0.0357,0.2449,0.249
5.710613,-0.0355,0.0368,0.2400,0.245
5.718214,-0.0355,0.0375,0.2184,0.224
5.726401,-0.0421,0.0349,0.1825,0.191
5.733657,-0.0291,0.0272,0.1515,0.157
5.741764,-0.0468,0.0192,0.1589,0.167
5.750510,-0.0457,0.0378,0.1710,0.181
5.757780,-0.0307,0.0541,0.1615,0.173
5.769895,-0.0119,0.0443,0.1615,0.168
5.773676,-0.0010,0.0277,0.1686,0.171
5.795440,0.0024,0.0042,0.2067,0.207
5.797402,-0.0086,-0.0291,0.2521,0.254
5.798706,-0.0054,-0.0457,0.2592,0.263
5.805389,0.0075,-0.0433,0.2950,0.298
5.814200,0.0085,-0.0390,0.3069,0.310
5.821035,0.0311,-0.0110,0.3069,0.309
5.829086,0.0367,0.0021,0.2471,0.250
5.836736,0.0348,-0.0015,0.1944,0.198
5.853345,0.0164,-0.0001,0.1609,0.162
5.855294,-0.0186,-0.0152,0.1250,0.127
5.874887,-0.0507,-0.0226,0.1369,0.148
5.877041,-0.0777,-0.0224,0.1823,0.199
5.878323,-0.1115,-0.0100,0.2182,0.245
5.884776,-0.0972,0.0070,0.2325,0.252
5.893361,-0.0852,0.0233,0.2062,0.224
5.900890,-0.0729,0.0391,0.1584,0.179
5.911831,-0.0535,0.0661,0.1084,0.138
5.916702,-0.0271,0.0715,0.1205,0.143
5.924840,-0.0225,0.0577,0.1063,0.123
5.932298,-0.0067,0.0537,0.1519,0.161
5.940604,-0.0155,0.0553,0.1639,0.174
5.950270,-0.0414,0.0644,0.1949,0.209
5.956557,-0.0553,0.0523,0.1948,0.209
5.970568,-0.0470,0.0477,0.2019,0.213
5.972744,-0.0449,0.0293,0.2114,0.218
5.980343,-0.0394,0.0230,0.2472,0.251
5.988230,-0.0354,0.0193,0.2760,0.279
5.996607,-0.0499,0.0272,0.3048,0.310
6.004192,-0.0641,0.0201,0.3145,0.322
6.012617,-0.0621,0.0294,0.3099,0.317
6.020232,-0.0633,0.0285,0.2741,0.283
6.029179,-0.0583,0.0344,0.2048,0.216
6.036286,-0.0254,0.0257,0.1451,0.150
6.052127,0.0023,0.0387,0.0925,0.100
6.054287,0.0324,0.0135,0.0830,0.090
6.072612,0.0557,-0.0186,0.0926,0.110
6.074566,0.0675,-0.0171,0.0999,0.122
6.076336,0.0844,-0.0253,0.1287,0.156
6.084591,0.1132,-0.0501,0.1551,0.198
6.092162,0.1637,-0.0748,0.1816,0.256
6.100056,0.1206,-0.0611,0.1697,0.217
6.107771,0.0539,-0.0186,0.2057,0.213
6.115958,0.0160,0.0091,0.2274,0.228
6.124130,-0.0170,0.0124,0.2227,0.224
6.131702,-0.0428,0.0178,0.2613,0.265
6.139787,-0.0474,0.0038,0.2567,0.261
6.154522,-0.0786,0.0086,0.2330,0.246
6.157257,-0.0742,0.0324,0.2261,0.240
6.180263,-0.0797,0.0652,0.1880,0.214
6.182324,-0.0952,0.0888,0.1930,0.233
6.183746,-0.1041,0.1029,0.1190,0.189
6.188048,-0.0914,0.1031,0.0880,0.164
6.195832,-0.0998,0.1207,0.0689,0.171
6.203956,-0.0692,0.1031,0.1169,0.171
6.212098,-0.0454,0.1147,0.1073,0.164
6.219307,-0.0927,0.1098,0.1720,0.224
6.228080,-0.1038,0.0862,0.2630,0.296
6.235298,-0.0055,0.0743,0.3061,0.315
6.247131,0.0206,0.0405,0.2175,0.222
6.251586,-0.0726,0.0261,0.2056,0.220
6.259635,-0.0557,0.0190,0.2511,0.258
6.275637,0.0042,0.0094,0.2463,0.246
6.277665,-0.0025,0.0138,0.2607,0.261
6.283260,-0.0469,0.0200,0.2681,0.273
6.292154,-0.0331,0.0305,0.2444,0.249
6.300170,-0.0139,0.0263,0.2136,0.216
6.307005,0.0268,0.0075,0.2140,0.216
6.314735,0.0481,0.0101,0.1856,0.192
6.322674,0.0356,0.0177,0.1525,0.158
6.330743,0.0088,0.0111,0.1312,0.132
6.338507,0.0178,0.0144,0.1147,0.117
6.351828,0.0049,0.0323,0.0791,0.086
6.356810,-0.0202,0.0242,0.0936,0.099
6.369136,-0.0265,0.0380,0.0794,0.092
6.370592,-0.0447,0.0374,0.0819,0.100
6.378727,-0.0455,0.0391,0.1276,0.141
6.386249,-0.0248,0.0265,0.1229,0.128
6.395172,0.0098,0.0137,0.1207,0.122
6.402276,-0.0019,0.0133,0.1471,0.148
6.411767,-0.0313,0.0084,0.2117,0.214
6.418311,-0.0183,0.0085,0.2451,0.246
6.426484,-0.0321,-0.0176,0.2761,0.279
6.434406,-0.0344,-0.0200,0.2520,0.255
6.442461,-0.0129,-0.0203,0.2639,0.265
6.453057,0.0020,-0.0185,0.2782,0.279
6.458193,0.0199,-0.0095,0.2949,0.296
6.473736,0.0548,0.0135,0.2973,0.303
6.475739,0.0374,0.0052,0.3166,0.319
6.483204,0.0394,-0.0199,0.5034,0.505
6.489964,0.0902,-0.0769,0.8363,0.845
6.498997,0.1860,-0.1120,0.9250,0.950
6.506210,0.1459,-0.0921,0.4872,0.517
6.514179,0.1028,-0.0352,-0.1755,0.206
6.522223,0.1355,0.0811,-0.5867,0.608
6.530087,-0.2251,0.0518,-4.4456,4.452
6.538028,-0.6686,0.5712,-1.2394,1.520
6.547298,-0.5703,0.0500,0.9599,1.118
6.554040,0.1857,0.0100,1.2958,1.309
6.577514,0.5463,0.1012,1.1486,1.276
6.581218,0.3689,0.0556,1.3086,1.361
6.583725,0.3189,-0.0202,1.2943,1.333
6.586637,0.4312,-0.2244,0.8375,0.968
6.594654,-0.0098,-0.2875,0.0505,0.292
6.604689,-0.3257,-0.1215,-0.1880,0.395
6.609865,-0.4576,0.0595,-0.1105,0.474
6.617475,-0.3703,0.1644,-0.1911,0.448
6.625539,-0.2820,0.1910,-0.2262,0.409
