time,gFx,gFy,gFz,0
22:25:04:843,0.4256,0.1412,0.8671,1.000
22:25:04:844,0.4363,0.1385,0.8747,1.011
22:25:04:846,0.4454,0.1361,0.8798,1.019
22:25:04:847,0.4529,0.1339,0.8825,1.024
22:25:04:849,0.4595,0.1329,0.8830,1.027
22:25:04:853,0.4674,0.1317,0.8810,1.029
22:25:04:854,0.4771,0.1302,0.8747,1.027
22:25:04:864,0.4881,0.1283,0.8654,1.024
22:25:04:865,0.4996,0.1251,0.8571,1.022
22:25:04:866,0.5106,0.1212,0.8505,1.021
22:25:04:866,0.5204,0.1160,0.8458,1.021
22:25:04:867,0.5282,0.1099,0.8422,1.021
22:25:04:868,0.5350,0.1031,0.8368,1.019
22:25:04:868,0.5382,0.0970,0.8305,1.015
22:25:04:869,0.5392,0.0919,0.8236,1.009
22:25:04:871,0.5387,0.0865,0.8177,1.003
22:25:04:880,0.5375,0.0811,0.8104,0.995
22:25:04:881,0.5353,0.0770,0.8031,0.987
22:25:04:882,0.5323,0.0728,0.7955,0.979
22:25:04:882,0.5297,0.0687,0.7870,0.970
22:25:04:883,0.5270,0.0652,0.7791,0.962
22:25:04:884,0.5240,0.0618,0.7708,0.953
22:25:04:885,0.5204,0.0581,0.7616,0.943
22:25:04:887,0.5174,0.0552,0.7537,0.934
22:25:04:890,0.5155,0.0520,0.7474,0.928
22:25:04:891,0.5150,0.0489,0.7408,0.922
22:25:04:895,0.5160,0.0462,0.7354,0.917
22:25:04:896,0.5172,0.0428,0.7308,0.914
22:25:04:897,0.5187,0.0393,0.7269,0.911
22:25:04:899,0.5206,0.0354,0.7225,0.908
22:25:04:902,0.5216,0.0308,0.7181,0.905
22:25:04:903,0.5218,0.0247,0.7122,0.900
22:25:04:908,0.5213,0.0176,0.7066,0.894
22:25:04:909,0.5201,0.0100,0.7017,0.889
22:25:04:910,0.5177,0.0029,0.6980,0.884
22:25:04:911,0.5138,-0.0083,0.6934,0.878
22:25:04:913,0.5121,-0.0195,0.6897,0.873
22:25:04:915,0.5104,-0.0520,0.6809,0.865
22:25:04:917,0.5057,-0.0860,0.6726,0.856
22:25:04:919,0.4945,-0.1104,0.6658,0.845
22:25:04:921,0.4776,-0.1214,0.6655,0.836
22:25:04:923,0.4586,-0.1170,0.6866,0.843
22:25:04:925,0.4437,-0.0985,0.7344,0.874
22:25:04:927,0.4336,-0.0743,0.8041,0.929
