time,gFx,gFy,gFz,0
18:11:12:931,0.0261,0.5551,1.0735,1.248
18:11:12:936,0.0203,0.5724,1.0972,1.277
18:11:12:937,0.0159,0.5868,1.1109,1.296
18:11:12:938,0.0134,0.5973,1.1175,1.307
18:11:12:940,0.0100,0.6042,1.1197,1.312
18:11:12:942,0.0046,0.6064,1.1192,1.313
18:11:12:944,-0.0020,0.6047,1.1163,1.309
18:11:12:946,-0.0078,0.5998,1.1053,1.297
18:11:12:948,-0.0076,0.5905,1.0726,1.264
18:11:12:950,0.0020,0.5775,1.0107,1.205
18:11:12:968,0.0105,0.5717,0.9665,1.164
18:11:12:970,0.0349,0.5617,0.8522,1.064
18:11:12:971,0.0618,0.5529,0.7271,0.960
18:11:12:972,0.0855,0.5438,0.5984,0.859
18:11:12:973,0.0972,0.5385,0.4620,0.765
18:11:12:974,0.0882,0.5358,0.3416,0.692
18:11:12:975,0.0687,0.5240,0.3360,0.677
18:11:12:976,0.0401,0.4977,0.5048,0.757
18:11:12:977,0.0034,0.4642,0.7293,0.907
18:11:12:978,-0.0156,0.4248,0.8708,1.008
18:11:12:979,-0.0169,0.3909,0.9045,1.022
18:11:12:979,-0.0125,0.3726,0.8722,0.985
18:11:12:980,0.0000,0.3655,0.8143,0.930
18:11:12:981,0.0210,0.3599,0.7623,0.881
18:11:12:982,0.0386,0.3599,0.7379,0.860
18:11:12:983,0.0452,0.3672,0.7476,0.873
18:11:12:984,0.0464,0.3767,0.7853,0.910
18:11:12:987,0.0491,0.3855,0.8378,0.961
18:11:12:988,0.0559,0.3804,0.8840,1.001
18:11:12:991,0.0716,0.3552,0.8969,1.003
18:11:12:993,0.0540,0.3555,0.9357,1.037
18:11:12:994,0.0042,0.3853,1.0186,1.124
18:11:12:996,-0.0183,0.4112,1.0826,1.193
18:11:12:998,0.0205,0.3965,1.0770,1.182
18:11:13:000,0.0584,0.3789,1.0523,1.154
18:11:13:003,0.0369,0.3921,1.0982,1.201
18:11:13:005,0.0115,0.4097,1.1642,1.268
18:11:13:006,0.0139,0.4207,1.2020,1.308
18:11:13:008,0.0159,0.4346,1.2350,1.343
18:11:13:009,0.0125,0.4503,1.2682,1.380
18:11:13:012,0.0090,0.4654,1.2944,1.410
18:11:13:015,0.0061,0.4766,1.3098,1.428
18:11:13:016,0.0024,0.4847,1.3176,1.438
18:11:13:019,-0.0027,0.4891,1.3213,1.444
18:11:13:021,-0.0093,0.4911,1.3198,1.443
18:11:13:022,-0.0195,0.4915,1.3166,1.440
18:11:13:024,-0.0310,0.4862,1.3083,1.431
18:11:13:026,-0.0369,0.4810,1.3007,1.422
18:11:13:027,-0.0484,0.4674,1.2802,1.398
18:11:13:030,-0.0562,0.4503,1.2563,1.370
18:11:13:032,-0.0603,0.4314,1.2323,1.341
18:11:13:034,-0.0603,0.4131,1.2057,1.310
18:11:13:036,-0.0557,0.3948,1.1783,1.278
18:11:13:052,-0.0498,0.3753,1.1480,1.242
18:11:13:054,-0.0481,0.3555,1.1143,1.204
18:11:13:055,-0.0608,0.3337,1.0926,1.177
18:11:13:056,-0.0735,0.3137,1.0728,1.152
18:11:13:057,-0.0711,0.2981,1.0381,1.114
18:11:13:058,-0.0716,0.2827,1.0054,1.078
18:11:13:059,-0.0858,0.2670,0.9853,1.056
18:11:13:060,-0.1180,0.2494,0.9775,1.046
18:11:13:061,-0.1676,0.2306,0.9805,1.051
18:11:13:062,-0.2228,0.2135,0.9927,1.068
