time,gFx,gFy,gFz,TgF
22:51:54:816,0.8570,0.0679,-0.0745,0.865
22:51:54:823,0.8666,0.0599,-0.0737,0.873
22:51:54:825,0.8763,0.0513,-0.0730,0.882
22:51:54:826,0.8868,0.0435,-0.0730,0.892
22:51:54:827,0.8976,0.0369,-0.0745,0.902
22:51:54:828,0.9096,0.0291,-0.0771,0.913
22:51:54:829,0.9208,0.0213,-0.0789,0.924
22:51:54:830,0.9301,0.0137,-0.0791,0.932
22:51:54:831,0.9379,0.0073,-0.0791,0.940
22:51:54:833,0.9447,0.0020,-0.0781,0.946
22:51:54:839,0.9511,-0.0037,-0.0779,0.952
22:51:54:841,0.9567,-0.0100,-0.0769,0.958
22:51:54:843,0.9606,-0.0156,-0.0762,0.961
22:51:54:844,0.9643,-0.0213,-0.0781,0.965
22:51:54:845,0.9672,-0.0271,-0.0825,0.968
22:51:54:846,0.9697,-0.0318,-0.0855,0.970
22:51:54:847,0.9711,-0.0369,-0.0881,0.972
22:51:54:849,0.9704,-0.0408,-0.0928,0.972
22:51:54:858,0.9689,-0.0435,-0.0964,0.970
22:51:54:860,0.9662,-0.0469,-0.1006,0.968
22:51:54:860,0.9633,-0.0501,-0.1045,0.965
22:51:54:861,0.9611,-0.0528,-0.1106,0.964
22:51:54:862,0.9584,-0.0555,-0.1179,0.962
22:51:54:863,0.9552,-0.0572,-0.1255,0.960
22:51:54:864,0.9511,-0.0579,-0.1331,0.956
22:51:54:865,0.9469,-0.0577,-0.1404,0.953
22:51:54:868,0.9457,-0.0572,-0.1495,0.953
22:51:54:869,0.9450,-0.0569,-0.1548,0.953
22:51:54:873,0.9438,-0.0562,-0.1653,0.953
22:51:54:874,0.9416,-0.0547,-0.1768,0.953
22:51:54:874,0.9386,-0.0528,-0.1883,0.952
22:51:54:877,0.9376,-0.0498,-0.1988,0.953
22:51:54:879,0.9357,-0.0467,-0.2103,0.954
22:51:54:880,0.9350,-0.0442,-0.2225,0.955
22:51:54:882,0.9350,-0.0403,-0.2347,0.958
22:51:54:885,0.9357,-0.0354,-0.2440,0.961
22:51:54:887,0.9398,-0.0300,-0.2543,0.968
22:51:54:889,0.9403,-0.0249,-0.2689,0.972
22:51:54:890,0.9381,-0.0195,-0.2816,0.973
22:51:54:893,0.9374,-0.0129,-0.2916,0.975
22:51:54:895,0.9352,-0.0054,-0.3061,0.978
22:51:54:897,0.9318,0.0007,-0.3202,0.979
22:51:54:899,0.9284,0.0068,-0.3334,0.980
22:51:54:901,0.9242,0.0132,-0.3442,0.980
22:51:54:903,0.9215,0.0210,-0.3525,0.981
22:51:54:905,0.9183,0.0308,-0.3679,0.984
22:51:54:907,0.9120,0.0379,-0.3869,0.986
22:51:54:909,0.9049,0.0452,-0.4045,0.987
22:51:54:912,0.8986,0.0533,-0.4209,0.988
22:51:54:914,0.8954,0.0611,-0.4353,0.992
22:51:54:914,0.8951,0.0672,-0.4485,0.998
22:51:54:918,0.8964,0.0723,-0.4607,1.005
22:51:54:919,0.8966,0.0782,-0.4719,1.011
22:51:54:921,0.8934,0.0848,-0.4781,1.012
22:51:54:923,0.8922,0.0899,-0.4876,1.016
22:51:54:925,0.8942,0.0931,-0.5179,1.033
22:51:54:927,0.9003,0.0945,-0.5511,1.054
22:51:54:929,0.9069,0.0943,-0.5662,1.068
22:51:54:931,0.9088,0.0958,-0.5680,1.070
22:51:54:932,0.9066,0.0994,-0.5677,1.069
22:51:54:935,0.9059,0.1031,-0.5702,1.070
22:51:54:937,0.9039,0.1058,-0.5711,1.069
22:51:54:939,0.8986,0.1085,-0.5687,1.064
22:51:54:941,0.8929,0.1112,-0.5643,1.057
22:51:54:943,0.8871,0.1138,-0.5582,1.050
22:51:54:945,0.8807,0.1158,-0.5504,1.041
22:51:54:946,0.8761,0.1160,-0.5384,1.031
22:51:54:949,0.8714,0.1160,-0.5250,1.020
22:51:54:952,0.8678,0.1165,-0.5105,1.010
22:51:54:953,0.8646,0.1158,-0.4949,0.999
22:51:54:954,0.8607,0.1151,-0.4781,0.988
22:51:54:956,0.8585,0.1143,-0.4617,0.978
22:51:54:959,0.8568,0.1124,-0.4465,0.970
22:51:54:961,0.8558,0.1082,-0.4316,0.962
22:51:54:963,0.8570,0.1026,-0.4177,0.956
22:51:54:965,0.8595,0.0980,-0.4057,0.953
22:51:54:967,0.8626,0.0931,-0.3960,0.951
22:51:54:973,0.8668,0.0875,-0.3874,0.950
22:51:54:974,0.8719,0.0814,-0.3816,0.952
22:51:54:975,0.8785,0.0752,-0.3764,0.955
22:51:54:976,0.8854,0.0694,-0.3715,0.959
22:51:54:977,0.8925,0.0638,-0.3684,0.964
22:51:54:979,0.8986,0.0589,-0.3652,0.968
22:51:54:982,0.9044,0.0547,-0.3615,0.971
22:51:54:984,0.9100,0.0506,-0.3591,0.975
22:51:54:985,0.9161,0.0469,-0.3566,0.980
22:51:54:988,0.9227,0.0432,-0.3527,0.984
22:51:54:990,0.9296,0.0398,-0.3488,0.989
22:51:54:991,0.9379,0.0359,-0.3471,0.996
22:51:54:993,0.9460,0.0327,-0.3464,1.003
22:51:54:995,0.9523,0.0291,-0.3452,1.008
22:51:54:996,0.9574,0.0264,-0.3437,1.012
22:51:54:998,0.9650,0.0232,-0.3417,1.019
22:51:55:001,0.9743,0.0191,-0.3412,1.027
22:51:55:003,0.9826,0.0134,-0.3432,1.035
22:51:55:004,0.9904,0.0081,-0.3464,1.043
22:51:55:006,0.9982,0.0029,-0.3500,1.052
22:51:55:008,1.0073,-0.0017,-0.3547,1.061
22:51:55:010,1.0168,-0.0051,-0.3601,1.072
22:51:55:012,1.0256,-0.0071,-0.3652,1.082
22:51:55:014,1.0341,-0.0081,-0.3703,1.092
22:51:55:017,1.0427,-0.0073,-0.3745,1.101
22:51:55:019,1.0515,-0.0068,-0.3762,1.110
22:51:55:022,1.0586,-0.0049,-0.3774,1.117
22:51:55:023,1.0632,-0.0015,-0.3779,1.122
22:51:55:025,1.0654,0.0039,-0.3754,1.123
22:51:55:026,1.0640,0.0112,-0.3703,1.121
22:51:55:028,1.0593,0.0198,-0.3642,1.115
22:51:55:030,1.0532,0.0288,-0.3571,1.107
22:51:55:032,1.0469,0.0379,-0.3508,1.100
22:51:55:036,1.0390,0.0464,-0.3459,1.092
22:51:55:037,1.0302,0.0530,-0.3425,1.083
22:51:55:038,1.0224,0.0581,-0.3417,1.076
22:51:55:040,1.0151,0.0616,-0.3427,1.070
22:51:55:042,1.0070,0.0630,-0.3464,1.063
22:51:55:044,0.9997,0.0628,-0.3513,1.058
22:51:55:046,0.9951,0.0608,-0.3579,1.056
22:51:55:048,0.9914,0.0579,-0.3647,1.054
22:51:55:051,0.9880,0.0540,-0.3706,1.052
22:51:55:057,0.9853,0.0481,-0.3737,1.050
22:51:55:058,0.9826,0.0432,-0.3774,1.049
22:51:55:059,0.9792,0.0393,-0.3813,1.046
22:51:55:060,0.9777,0.0354,-0.3847,1.046
22:51:55:061,0.9777,0.0313,-0.3889,1.047
22:51:55:063,0.9777,0.0276,-0.3928,1.048
22:51:55:065,0.9770,0.0257,-0.3962,1.049
22:51:55:066,0.9777,0.0257,-0.3999,1.051
22:51:55:078,0.9784,0.0252,-0.4050,1.053
22:51:55:079,0.9794,0.0252,-0.4109,1.056
22:51:55:080,0.9821,0.0266,-0.4172,1.061
22:51:55:081,0.9850,0.0303,-0.4231,1.066
22:51:55:081,0.9848,0.0347,-0.4280,1.068
22:51:55:082,0.9843,0.0403,-0.4333,1.070
22:51:55:083,0.9831,0.0481,-0.4387,1.072
22:51:55:084,0.9824,0.0557,-0.4436,1.074
22:51:55:087,0.9846,0.0635,-0.4490,1.079
22:51:55:088,0.9894,0.0716,-0.4551,1.087
22:51:55:089,0.9955,0.0794,-0.4612,1.096
22:51:55:090,1.0056,0.0872,-0.4675,1.108
22:51:55:093,1.0192,0.0953,-0.4737,1.124
22:51:55:095,1.0371,0.1033,-0.4800,1.144
22:51:55:096,1.0578,0.1119,-0.4851,1.166
22:51:55:098,1.0813,0.1217,-0.4883,1.190
22:51:55:101,1.1072,0.1322,-0.4903,1.216
22:51:55:104,1.1365,0.1417,-0.4890,1.243
22:51:55:106,1.1702,0.1500,-0.4851,1.274
22:51:55:107,1.2093,0.1578,-0.4825,1.310
22:51:55:108,1.2513,0.1630,-0.4810,1.349
22:51:55:110,1.2936,0.1671,-0.4795,1.389
22:51:55:112,1.3161,0.1683,-0.4776,1.409
22:51:55:115,1.3627,0.1681,-0.4717,1.451
22:51:55:117,1.4072,0.1659,-0.4658,1.491
22:51:55:120,1.4695,0.1593,-0.4544,1.545
22:51:55:121,1.5101,0.1515,-0.4431,1.580
22:51:55:123,1.5289,0.1461,-0.4377,1.596
22:51:55:125,1.5660,0.1336,-0.4297,1.628
22:51:55:127,1.6031,0.1195,-0.4233,1.660
22:51:55:129,1.6420,0.1029,-0.4167,1.695
22:51:55:131,1.6816,0.0858,-0.4089,1.730
22:51:55:132,1.7160,0.0684,-0.4011,1.760
22:51:55:136,1.7417,0.0513,-0.3891,1.782
22:51:55:138,1.7573,0.0342,-0.3742,1.793
22:51:55:140,1.7600,0.0178,-0.3601,1.792
22:51:55:141,1.7517,0.0042,-0.3488,1.782
22:51:55:143,1.7307,-0.0059,-0.3388,1.759
22:51:55:144,1.6982,-0.0137,-0.3278,1.725
22:51:55:146,1.6554,-0.0195,-0.3151,1.680
22:51:55:148,1.6056,-0.0230,-0.3039,1.629
22:51:55:151,1.5511,-0.0257,-0.2921,1.574
22:51:55:155,1.4908,-0.0266,-0.2763,1.511
22:51:55:156,1.4258,-0.0269,-0.2599,1.445
22:51:55:157,1.3625,-0.0261,-0.2416,1.379
22:51:55:158,1.3017,-0.0249,-0.2196,1.316
22:51:55:160,1.2440,-0.0230,-0.1988,1.256
22:51:55:162,1.1917,-0.0203,-0.1788,1.201
22:51:55:164,1.1458,-0.0142,-0.1536,1.153
22:51:55:166,1.0962,-0.0071,-0.1270,1.101
22:51:55:173,1.0444,-0.0005,-0.1055,1.047
22:51:55:175,0.9973,0.0061,-0.0928,1.000
22:51:55:177,0.9569,0.0132,-0.0864,0.960
22:51:55:177,0.9186,0.0200,-0.0842,0.922
22:51:55:178,0.8834,0.0274,-0.0835,0.887
22:51:55:180,0.8573,0.0364,-0.0852,0.862
22:51:55:180,0.8372,0.0469,-0.0930,0.844
22:51:55:183,0.8189,0.0591,-0.1052,0.829
22:51:55:185,0.8033,0.0745,-0.1162,0.817
22:51:55:197,0.7916,0.0906,-0.1214,0.809
22:51:55:198,0.7813,0.1060,-0.1211,0.801
22:51:55:199,0.7752,0.1217,-0.1162,0.798
22:51:55:201,0.7723,0.1368,-0.1077,0.798
22:51:55:202,0.7720,0.1507,-0.0945,0.799
22:51:55:203,0.7747,0.1644,-0.0808,0.804
22:51:55:204,0.7820,0.1771,-0.0681,0.814
22:51:55:204,0.7923,0.1898,-0.0564,0.827
22:51:55:205,0.8074,0.2020,-0.0442,0.844
22:51:55:206,0.8272,0.2140,-0.0310,0.866
22:51:55:207,0.8509,0.2253,-0.0183,0.892
22:51:55:210,0.8780,0.2345,-0.0061,0.921
22:51:55:211,0.9069,0.2436,0.0054,0.952
22:51:55:212,0.9357,0.2536,0.0157,0.982
22:51:55:214,0.9650,0.2634,0.0247,1.014
22:51:55:216,0.9948,0.2719,0.0323,1.045
22:51:55:220,1.0249,0.2817,0.0377,1.077
22:51:55:223,1.0534,0.2922,0.0413,1.107
22:51:55:224,1.0813,0.3025,0.0448,1.137
22:51:55:225,1.1057,0.3130,0.0487,1.164
22:51:55:226,1.1248,0.3237,0.0523,1.185
22:51:55:228,1.1387,0.3342,0.0558,1.202
22:51:55:230,1.1490,0.3447,0.0589,1.215
22:51:55:232,1.1551,0.3542,0.0597,1.224
22:51:55:234,1.1573,0.3638,0.0587,1.229
22:51:55:237,1.1543,0.3726,0.0572,1.230
22:51:55:240,1.1482,0.3789,0.0548,1.226
22:51:55:241,1.1394,0.3843,0.0506,1.219
22:51:55:242,1.1292,0.3902,0.0423,1.211
22:51:55:244,1.1184,0.3953,0.0318,1.203
22:51:55:246,1.1060,0.3999,0.0206,1.193
22:51:55:248,1.0913,0.4038,0.0093,1.180
22:51:55:250,1.0737,0.4073,-0.0029,1.165
22:51:55:254,1.0559,0.4097,-0.0166,1.150
22:51:55:255,1.0376,0.4095,-0.0322,1.133
22:51:55:258,1.0195,0.4075,-0.0498,1.116
22:51:55:259,1.0021,0.4051,-0.0679,1.100
22:51:55:260,0.9836,0.4007,-0.0857,1.082
22:51:55:263,0.9633,0.3950,-0.1035,1.063
22:51:55:264,0.9450,0.3877,-0.1194,1.044
22:51:55:266,0.9284,0.3784,-0.1336,1.027
22:51:55:268,0.9127,0.3689,-0.1475,1.011
22:51:55:275,0.8995,0.3579,-0.1622,0.996
22:51:55:276,0.8881,0.3457,-0.1766,0.983
22:51:55:278,0.8775,0.3332,-0.1898,0.971
22:51:55:279,0.8680,0.3203,-0.2022,0.959
22:51:55:280,0.8607,0.3068,-0.2132,0.950
22:51:55:281,0.8546,0.2941,-0.2240,0.942
22:51:55:282,0.8512,0.2814,-0.2337,0.937
22:51:55:285,0.8499,0.2687,-0.2421,0.933
22:51:55:297,0.8470,0.2568,-0.2482,0.928
22:51:55:298,0.8421,0.2446,-0.2533,0.921
22:51:55:300,0.8375,0.2323,-0.2572,0.914
22:51:55:303,0.8328,0.2209,-0.2611,0.907
22:51:55:305,0.8282,0.2099,-0.2638,0.900
22:51:55:307,0.8238,0.1986,-0.2662,0.894
22:51:55:308,0.8211,0.1869,-0.2699,0.889
22:51:55:309,0.8182,0.1759,-0.2736,0.884
22:51:55:311,0.8143,0.1656,-0.2760,0.879
22:51:55:312,0.8109,0.1556,-0.2777,0.874
22:51:55:313,0.8084,0.1461,-0.2785,0.870
22:51:55:314,0.8065,0.1371,-0.2787,0.866
22:51:55:316,0.8057,0.1290,-0.2794,0.864
22:51:55:317,0.8040,0.1209,-0.2789,0.861
22:51:55:318,0.8013,0.1121,-0.2775,0.856
22:51:55:319,0.8001,0.1051,-0.2760,0.853
22:51:55:321,0.7972,0.0980,-0.2733,0.848
22:51:55:322,0.7935,0.0904,-0.2697,0.842
22:51:55:323,0.7908,0.0828,-0.2670,0.838
22:51:55:324,0.7864,0.0755,-0.2660,0.832
22:51:55:327,0.7813,0.0689,-0.2655,0.826
22:51:55:329,0.7766,0.0625,-0.2626,0.820
22:51:55:330,0.7725,0.0564,-0.2596,0.815
22:51:55:332,0.7686,0.0489,-0.2609,0.810
22:51:55:334,0.7639,0.0415,-0.2616,0.805
22:51:55:339,0.7578,0.0364,-0.2614,0.799
22:51:55:340,0.7510,0.0308,-0.2599,0.791
22:51:55:342,0.7434,0.0247,-0.2555,0.782
22:51:55:342,0.7378,0.0195,-0.2491,0.774
22:51:55:344,0.7356,0.0142,-0.2467,0.771
22:51:55:346,0.7339,0.0093,-0.2447,0.769
22:51:55:348,0.7332,0.0049,-0.2396,0.766
22:51:55:350,0.7332,0.0012,-0.2313,0.763
22:51:55:354,0.7339,-0.0010,-0.2215,0.761
22:51:55:355,0.7361,-0.0037,-0.2108,0.761
22:51:55:356,0.7407,-0.0051,-0.1995,0.762
22:51:55:364,0.7459,-0.0051,-0.1886,0.765
22:51:55:365,0.7517,-0.0042,-0.1778,0.768
22:51:55:365,0.7583,-0.0029,-0.1688,0.773
22:51:55:366,0.7637,-0.0010,-0.1600,0.777
22:51:55:367,0.7666,0.0005,-0.1561,0.779
22:51:55:368,0.7735,0.0034,-0.1487,0.784
22:51:55:372,0.7806,0.0086,-0.1399,0.790
22:51:55:374,0.7876,0.0139,-0.1324,0.797
22:51:55:375,0.7947,0.0188,-0.1287,0.804
22:51:55:376,0.8016,0.0239,-0.1250,0.810
22:51:55:378,0.8089,0.0303,-0.1204,0.817
22:51:55:380,0.8145,0.0364,-0.1177,0.823
22:51:55:382,0.8170,0.0415,-0.1170,0.826
22:51:55:384,0.8206,0.0469,-0.1172,0.830
22:51:55:386,0.8265,0.0535,-0.1187,0.837
22:51:55:389,0.8338,0.0606,-0.1211,0.846
22:51:55:390,0.8416,0.0667,-0.1233,0.854
22:51:55:392,0.8480,0.0728,-0.1258,0.862
22:51:55:394,0.8531,0.0777,-0.1292,0.868
22:51:55:396,0.8565,0.0821,-0.1336,0.872
22:51:55:397,0.8585,0.0870,-0.1377,0.876
22:51:55:400,0.8602,0.0923,-0.1412,0.879
22:51:55:402,0.8653,0.0977,-0.1421,0.885
22:51:55:405,0.8666,0.1033,-0.1436,0.887
22:51:55:406,0.8573,0.1090,-0.1497,0.880
22:51:55:408,0.8429,0.1143,-0.1597,0.868
22:51:55:410,0.8302,0.1202,-0.1697,0.859
22:51:55:412,0.8211,0.1263,-0.1766,0.853
22:51:55:413,0.8153,0.1317,-0.1817,0.849
22:51:55:416,0.8084,0.1375,-0.1864,0.845
22:51:55:417,0.8001,0.1446,-0.1920,0.840
22:51:55:420,0.7918,0.1510,-0.2008,0.835
22:51:55:422,0.7815,0.1566,-0.2108,0.829
22:51:55:424,0.7730,0.1634,-0.2206,0.825
22:51:55:425,0.7686,0.1693,-0.2264,0.824
22:51:55:428,0.7713,0.1739,-0.2237,0.827
22:51:55:429,0.7622,0.1801,-0.2315,0.822
22:51:55:432,0.7471,0.1866,-0.2465,0.814
22:51:55:433,0.7317,0.1937,-0.2621,0.807
22:51:55:437,0.7192,0.2001,-0.2743,0.801
22:51:55:438,0.7056,0.2079,-0.2882,0.796
22:51:55:440,0.6963,0.2162,-0.2980,0.794
22:51:55:442,0.6909,0.2235,-0.3053,0.795
22:51:55:444,0.6792,0.2318,-0.3207,0.793
22:51:55:446,0.6657,0.2411,-0.3371,0.792
22:51:55:447,0.6567,0.2507,-0.3515,0.794
22:51:55:449,0.6508,0.2597,-0.3630,0.797
22:51:55:452,0.6447,0.2687,-0.3728,0.800
22:51:55:455,0.6381,0.2778,-0.3825,0.803
22:51:55:456,0.6320,0.2853,-0.3911,0.805
22:51:55:458,0.6286,0.2919,-0.3982,0.808
22:51:55:460,0.6244,0.2971,-0.4023,0.809
22:51:55:462,0.6186,0.3029,-0.4040,0.808
22:51:55:464,0.6130,0.3098,-0.4052,0.807
22:51:55:466,0.6098,0.3156,-0.4072,0.809
22:51:55:468,0.6078,0.3196,-0.4096,0.810
22:51:55:474,0.6076,0.3220,-0.4109,0.812
22:51:55:475,0.6098,0.3247,-0.4114,0.815
22:51:55:476,0.6159,0.3264,-0.4118,0.820
22:51:55:477,0.6257,0.3244,-0.4136,0.828
22:51:55:478,0.6306,0.3225,-0.4123,0.830
22:51:55:480,0.6330,0.3218,-0.4092,0.830
22:51:55:481,0.6411,0.3196,-0.4055,0.833
22:51:55:484,0.6499,0.3156,-0.4006,0.836
22:51:55:489,0.6589,0.3112,-0.3965,0.839
22:51:55:491,0.6677,0.3059,-0.3935,0.843
22:51:55:492,0.6758,0.3005,-0.3899,0.845
22:51:55:493,0.6833,0.2939,-0.3884,0.848
22:51:55:494,0.6889,0.2861,-0.3867,0.849
22:51:55:496,0.6951,0.2775,-0.3845,0.849
22:51:55:498,0.7026,0.2680,-0.3838,0.852
22:51:55:500,0.7112,0.2568,-0.3835,0.854
22:51:55:502,0.7185,0.2455,-0.3828,0.856
22:51:55:504,0.7256,0.2340,-0.3818,0.858
22:51:55:506,0.7327,0.2221,-0.3818,0.860
22:51:55:508,0.7388,0.2101,-0.3820,0.862
22:51:55:509,0.7461,0.1979,-0.3811,0.864
22:51:55:511,0.7527,0.1849,-0.3801,0.866
22:51:55:513,0.7595,0.1710,-0.3789,0.868
22:51:55:515,0.7669,0.1556,-0.3781,0.870
22:51:55:518,0.7730,0.1405,-0.3757,0.871
22:51:55:521,0.7801,0.1266,-0.3732,0.873
22:51:55:523,0.7874,0.1131,-0.3715,0.877
22:51:55:524,0.7935,0.1007,-0.3701,0.879
22:51:55:525,0.7991,0.0887,-0.3671,0.881
22:51:55:528,0.8047,0.0774,-0.3637,0.883
22:51:55:529,0.8104,0.0672,-0.3598,0.885
22:51:55:532,0.8172,0.0584,-0.3557,0.889
22:51:55:534,0.8265,0.0513,-0.3530,0.896
22:51:55:536,0.8387,0.0442,-0.3537,0.906
22:51:55:538,0.8521,0.0386,-0.3583,0.920
22:51:55:540,0.8666,0.0349,-0.3666,0.936
22:51:55:542,0.8824,0.0335,-0.3781,0.955
22:51:55:544,0.8978,0.0342,-0.3918,0.974
22:51:55:545,0.9118,0.0354,-0.4052,0.992
22:51:55:547,0.9254,0.0369,-0.4175,1.010
22:51:55:549,0.9384,0.0384,-0.4297,1.027
22:51:55:551,0.9506,0.0393,-0.4409,1.042
22:51:55:555,0.9628,0.0415,-0.4517,1.058
22:51:55:556,0.9753,0.0437,-0.4629,1.074
22:51:55:557,0.9897,0.0469,-0.4761,1.093
22:51:55:560,1.0046,0.0506,-0.4900,1.113
22:51:55:561,1.0195,0.0552,-0.5025,1.132
22:51:55:564,1.0337,0.0599,-0.5142,1.150
22:51:55:565,1.0473,0.0640,-0.5250,1.167
22:51:55:567,1.0615,0.0665,-0.5342,1.184
22:51:55:573,1.0754,0.0687,-0.5438,1.201
22:51:55:575,1.0894,0.0718,-0.5528,1.218
22:51:55:576,1.1038,0.0752,-0.5597,1.234
22:51:55:576,1.1189,0.0787,-0.5645,1.250
22:51:55:578,1.1387,0.0826,-0.5689,1.270
22:51:55:579,1.1578,0.0870,-0.5741,1.290
22:51:55:581,1.1629,0.0914,-0.5787,1.297
22:51:55:583,1.1653,0.0967,-0.5836,1.302
22:51:55:585,1.1685,0.1026,-0.5880,1.307
22:51:55:594,1.1707,0.1058,-0.5899,1.310
22:51:55:596,1.1785,0.1124,-0.5934,1.320
22:51:55:597,1.1922,0.1224,-0.5948,1.334
22:51:55:598,1.1964,0.1246,-0.5929,1.337
22:51:55:599,1.2032,0.1292,-0.5870,1.341
22:51:55:600,1.2071,0.1346,-0.5812,1.343
22:51:55:600,1.2074,0.1395,-0.5746,1.341
22:51:55:601,1.2037,0.1439,-0.5675,1.335
22:51:55:606,1.1973,0.1488,-0.5614,1.328
22:51:55:608,1.1893,0.1549,-0.5555,1.319
22:51:55:609,1.1780,0.1605,-0.5499,1.308
22:51:55:610,1.1656,0.1654,-0.5462,1.296
22:51:55:611,1.1524,0.1691,-0.5447,1.284
22:51:55:614,1.1375,0.1720,-0.5467,1.272
22:51:55:615,1.1206,0.1744,-0.5506,1.259
22:51:55:617,1.1033,0.1764,-0.5560,1.246
22:51:55:620,1.0864,0.1776,-0.5628,1.235
22:51:55:623,1.0679,0.1781,-0.5721,1.223
22:51:55:625,1.0476,0.1764,-0.5843,1.210
22:51:55:626,1.0285,0.1722,-0.5990,1.200
22:51:55:627,1.0097,0.1671,-0.6173,1.192
22:51:55:629,0.9904,0.1610,-0.6391,1.186
22:51:55:631,0.9687,0.1520,-0.6564,1.176
22:51:55:634,0.9467,0.1405,-0.6713,1.164
22:51:55:635,0.9279,0.1280,-0.6884,1.157
22:51:55:638,0.9122,0.1141,-0.7043,1.152
22:51:55:639,0.9020,0.0980,-0.7163,1.149
22:51:55:641,0.9020,0.0828,-0.7182,1.148
22:51:55:643,0.8841,0.0652,-0.7224,1.135
22:51:55:645,0.8534,0.0447,-0.7224,1.109
22:51:55:647,0.8216,0.0244,-0.7187,1.081
22:51:55:649,0.7957,0.0051,-0.7185,1.060
22:51:55:651,0.7757,-0.0132,-0.7253,1.049
22:51:55:658,0.7613,-0.0300,-0.7380,1.047
22:51:55:660,0.7534,-0.0447,-0.7539,1.052
22:51:55:661,0.7532,-0.0572,-0.7737,1.066
22:51:55:662,0.7605,-0.0672,-0.7983,1.088
22:51:55:663,0.7759,-0.0735,-0.8240,1.118
22:51:55:664,0.7986,-0.0735,-0.8514,1.153
22:51:55:665,0.8275,-0.0672,-0.8748,1.190
22:51:55:668,0.8602,-0.0523,-0.8909,1.224
22:51:55:671,0.8966,-0.0281,-0.8924,1.251
22:51:55:673,0.9372,0.0039,-0.8753,1.270
22:51:55:674,0.9821,0.0435,-0.8435,1.285
22:51:55:678,1.0280,0.0894,-0.8035,1.300
22:51:55:680,1.0749,0.1383,-0.7578,1.317
22:51:55:681,1.1243,0.1869,-0.7092,1.339
22:51:55:682,1.1749,0.2336,-0.6615,1.367
22:51:55:683,1.2218,0.2788,-0.6139,1.397
22:51:55:685,1.2631,0.3205,-0.5667,1.424
22:51:55:690,1.2990,0.3584,-0.5218,1.450
22:51:55:692,1.3307,0.3941,-0.4793,1.475
22:51:55:693,1.3593,0.4280,-0.4363,1.498
22:51:55:694,1.3830,0.4586,-0.3938,1.519
22:51:55:696,1.4031,0.4859,-0.3525,1.537
22:51:55:697,1.4194,0.5104,-0.3117,1.552
22:51:55:699,1.4307,0.5326,-0.2709,1.563
22:51:55:701,1.4377,0.5526,-0.2315,1.571
22:51:55:705,1.4429,0.5700,-0.1932,1.578
22:51:55:707,1.4448,0.5834,-0.1548,1.581
22:51:55:708,1.4436,0.5927,-0.1162,1.581
22:51:55:710,1.4424,0.5990,-0.0791,1.581
22:51:55:711,1.4377,0.6020,-0.0478,1.577
22:51:55:713,1.4302,0.6012,-0.0217,1.569
22:51:55:715,1.4202,0.5971,-0.0017,1.559
22:51:55:717,1.4067,0.5915,0.0140,1.544
22:51:55:719,1.3894,0.5827,0.0233,1.525
22:51:55:722,1.3674,0.5724,0.0311,1.501
22:51:55:724,1.3398,0.5604,0.0401,1.471
22:51:55:725,1.3031,0.5458,0.0531,1.433
22:51:55:727,1.2606,0.5301,0.0689,1.388
22:51:55:730,1.2157,0.5135,0.0829,1.342
22:51:55:731,1.1707,0.4952,0.0902,1.294
22:51:55:733,1.1226,0.4725,0.0914,1.241
22:51:55:735,1.0662,0.4476,0.0929,1.180
22:51:55:738,1.0053,0.4224,0.0958,1.115
22:51:55:740,0.9464,0.3982,0.0990,1.052
22:51:55:741,0.8920,0.3738,0.1000,0.993
22:51:55:743,0.8436,0.3489,0.0956,0.938
22:51:55:745,0.7974,0.3240,0.0853,0.885
22:51:55:747,0.7520,0.3017,0.0736,0.833
22:51:55:749,0.7122,0.2817,0.0587,0.787
22:51:55:751,0.6801,0.2639,0.0409,0.749
22:51:55:753,0.6547,0.2489,0.0213,0.719
22:51:55:759,0.6357,0.2362,0.0005,0.695
22:51:55:760,0.6240,0.2253,-0.0219,0.680
22:51:55:761,0.6137,0.2169,-0.0420,0.668
22:51:55:762,0.6066,0.2106,-0.0588,0.659
22:51:55:763,0.6025,0.2062,-0.0715,0.655
22:51:55:765,0.5990,0.2033,-0.0801,0.651
22:51:55:767,0.5981,0.2020,-0.0840,0.650
22:51:55:769,0.5998,0.2016,-0.0835,0.652
22:51:55:789,0.6056,0.2001,-0.0791,0.656
22:51:55:791,0.6110,0.1981,-0.0720,0.660
22:51:55:792,0.6218,0.1957,-0.0625,0.668
22:51:55:793,0.6320,0.1935,-0.0483,0.676
22:51:55:794,0.6433,0.1910,-0.0324,0.685
22:51:55:794,0.6613,0.1876,-0.0158,0.701
22:51:55:795,0.6745,0.1827,0.0054,0.712
22:51:55:796,0.6828,0.1781,0.0284,0.719
22:51:55:797,0.6943,0.1725,0.0521,0.731
22:51:55:797,0.7134,0.1652,0.0748,0.749
22:51:55:798,0.7356,0.1573,0.0968,0.771
22:51:55:799,0.7473,0.1502,0.1203,0.784
22:51:55:800,0.7576,0.1432,0.1415,0.796
22:51:55:801,0.7696,0.1356,0.1603,0.810
22:51:55:802,0.7854,0.1290,0.1772,0.827
22:51:55:803,0.8052,0.1224,0.1916,0.848
22:51:55:804,0.8275,0.1160,0.2045,0.871
22:51:55:806,0.8521,0.1112,0.2106,0.895
22:51:55:807,0.8802,0.1065,0.2023,0.919
